投票所,朱立凡,宋柏澄,洪慈庸,張睿倉,張烱春,楊瓊瓔,
452,0.4724,0.0000,43.6220,2.9921,0.3150,52.5984,
453,0.2535,0.0000,31.5589,4.5627,0.1267,63.4981,
454,0.1342,0.1342,48.0537,3.0872,0.2685,48.3221,
455,0.1266,0.1266,42.0253,4.4304,0.1266,53.1646,
456,0.3937,0.2625,39.3701,5.7743,0.1312,54.0682,
457,0.4021,0.1340,42.7614,4.8257,0.0000,51.8767,
458,0.1038,0.0000,36.6563,4.6729,0.1038,58.4631,
459,0.1034,0.2068,43.3299,5.4809,0.0000,50.8790,
460,0.0000,0.3690,53.0443,4.8893,0.0923,41.6052,
461,0.1064,0.0000,50.1064,4.4681,0.0000,45.3191,
462,0.2532,0.0000,41.7722,5.5696,0.1266,52.2785,
463,0.0000,0.0000,49.7981,3.9031,0.0000,46.2988,
464,0.4561,0.1140,42.8734,3.5348,0.0000,53.0217,
465,0.0000,0.4662,47.6690,2.6807,0.0000,49.1841,
466,0.1126,0.0000,44.8198,4.8423,0.1126,50.1126,
467,0.0000,0.0000,49.1189,5.9471,0.0000,44.9339,
468,0.0000,0.1101,49.7797,6.7181,0.3304,43.0617,
469,0.1504,0.0000,51.2782,3.1579,0.1504,45.2632,
470,0.1364,0.1364,57.2988,6.2756,0.1364,36.0164,
471,0.2242,0.2242,49.3274,4.5964,0.0000,45.6278,
472,0.0000,0.0000,53.6332,3.9216,0.3460,42.0992,
473,0.1282,0.2564,54.6154,3.5897,0.1282,41.2821,
474,0.1060,0.0000,49.4168,4.5599,0.2121,45.7052,
475,0.0000,0.1239,50.3098,5.2045,0.1239,44.2379,
476,0.1179,0.0000,53.6557,5.1887,0.0000,41.0377,
477,0.1080,0.1080,55.6156,5.0756,0.2160,38.8769,
478,0.1099,0.2198,53.6264,4.5055,0.1099,41.4286,
479,0.2375,0.0000,52.1378,4.9881,0.1188,42.5178,
480,0.4098,0.2732,52.7322,5.0546,0.0000,41.5301,
481,0.5747,0.3831,50.3831,4.2146,0.3831,44.0613,
482,0.1580,0.0000,49.9210,2.8436,0.0000,47.0774,
483,0.1344,0.2688,53.0914,2.5538,0.0000,43.9516,
484,0.2545,0.0000,46.8193,3.9440,0.5089,48.4733,
485,0.0000,0.0000,48.0888,5.0555,0.0000,46.8557,
486,0.0000,0.0000,49.7573,4.9757,0.3641,44.9029,
487,0.0000,0.1456,43.9592,5.5313,0.0000,50.3639,
488,0.4298,0.1433,55.4441,3.7249,0.5731,39.6848,
489,0.0000,0.1410,54.4429,4.7955,0.4231,40.1975,
490,0.1318,0.5270,55.2042,2.6350,0.1318,41.3702,
491,0.2497,0.2497,43.6954,4.6192,0.1248,51.0612,
492,0.0000,0.0996,52.3904,4.2829,0.0000,43.2271,
