投票所,親民,基進,時力,國民,綠黨,民進,台民
452,3.6741,1.5974,5.4313,37.3802,1.9169,27.7955,15.0160
453,3.6452,2.0656,3.6452,54.3135,0.4860,22.3572,9.7205
454,3.3058,2.2039,6.1983,37.6033,2.0661,33.4711,9.6419
455,3.5398,2.6549,7.3325,39.4437,2.1492,27.8129,12.5158
456,3.4076,2.7523,4.3250,45.8716,1.4417,23.1979,13.1062
457,4.1444,2.8075,7.0856,38.5027,2.1390,26.4706,12.8342
458,4.2355,2.1694,5.9917,44.7314,2.8926,25.0000,11.2603
459,3.3264,1.7672,5.8212,38.7734,2.1830,29.0021,14.6570
460,2.7498,3.3914,7.6077,34.0055,2.1082,31.8057,13.9322
461,3.2189,2.7897,7.1888,35.4077,1.9313,31.2232,14.0558
462,3.6036,3.2175,5.7915,38.2239,1.9305,28.0566,12.8700
463,3.4574,2.5266,5.4521,35.3723,1.7287,32.7128,14.4947
464,2.6901,1.5205,8.1871,36.1404,2.1053,30.0585,13.3333
465,3.2181,2.7414,5.8403,38.4982,1.6687,30.0358,13.5876
466,3.8724,2.8474,5.0114,38.3827,1.2528,31.3212,13.2118
467,3.6464,2.6519,5.0829,34.6961,1.2155,31.1602,15.0276
468,2.7778,2.8889,6.1111,34.8889,1.6667,32.8889,13.5556
469,5.7099,2.1605,7.2531,32.0988,1.0802,30.5556,14.0432
470,3.0899,2.5281,8.1461,28.3708,1.8258,38.7640,11.9382
471,3.6158,4.4068,8.2486,32.3164,1.5819,29.2655,14.6893
472,2.6995,3.6385,7.1596,31.3380,2.2300,35.6808,11.7371
473,4.3423,2.0434,7.9183,31.8008,1.0217,32.6948,14.1762
474,3.8503,3.1016,7.5936,34.2246,1.1765,31.1230,12.9412
475,2.3929,3.0227,6.0453,35.0126,1.8892,34.7607,11.3350
476,2.6316,1.4354,6.4593,30.7416,2.9904,36.8421,12.2010
477,3.3843,1.8559,7.8603,29.8035,2.1834,36.2445,11.8996
478,4.5354,2.6549,6.9690,30.9735,2.4336,30.9735,14.6018
479,3.3735,1.6867,9.1566,28.9157,1.9277,32.1687,13.8554
480,4.4077,1.2397,6.4738,29.2011,1.6529,34.7107,15.7025
481,5.4159,4.4487,5.9961,33.0754,1.3540,33.2689,9.8646
482,2.6984,2.6984,6.5079,33.3333,1.5873,36.5079,9.8413
483,2.2161,2.3546,8.1717,35.3186,0.8310,32.6870,12.0499
484,3.6223,2.9754,6.2096,34.5408,2.0699,30.2717,15.1358
485,3.3163,2.4235,6.1224,33.6735,1.4031,30.4847,15.5612
486,4.5455,3.5627,8.3538,33.0467,1.2285,28.5012,13.1450
487,3.5398,1.7699,7.5221,39.6755,2.2124,26.9912,14.7493
488,3.2857,1.5714,6.4286,29.8571,1.1429,37.1429,13.2857
489,4.5455,2.6989,6.9602,30.3977,0.9943,36.6477,12.2159
490,2.0107,3.2172,6.7024,31.2332,1.6086,40.7507,10.0536
491,3.8363,2.9412,8.9514,35.6777,1.1509,30.4348,12.5320
492,4.6748,2.7439,7.8252,29.9797,2.2358,37.0935,11.1789
