投票所,朱立凡,宋柏澄,洪慈庸,張睿倉,張烱春,楊瓊瓔,
538,0.0912,0.0912,34.2153,23.2664,0.0000,42.3358,
539,0.3578,0.0894,40.4293,20.5725,0.0000,38.5510,
540,0.5198,0.2079,38.2536,19.0229,0.6237,41.3721,
541,0.3584,0.0000,39.4265,16.8459,0.1792,43.1900,
542,0.0907,0.1813,38.8033,10.3354,0.4533,50.1360,
543,0.3591,0.0000,41.7415,8.9767,0.1795,48.7433,
544,0.0903,0.0000,42.6895,11.6426,0.0000,45.5776,
545,0.2910,0.0970,37.1484,8.4384,0.0970,53.9282,
546,0.0000,0.0000,37.5350,11.2045,0.0934,51.1671,
547,0.3497,0.1748,44.8427,10.2273,0.3497,44.0559,
548,0.0957,0.0957,42.4880,7.4641,0.0957,49.7608,
549,0.1041,0.2081,44.8491,9.3652,0.5203,44.9532,
550,0.0905,0.0905,47.0588,7.9638,0.1810,44.6154,
551,0.1127,0.0000,43.6302,8.0045,0.2255,48.0271,
552,0.1074,0.0000,43.0720,10.2041,0.2148,46.4017,
553,0.0923,0.1847,44.8753,9.5106,0.0000,45.3370,
554,0.0000,0.0000,41.0731,8.8807,0.1850,49.8612,
555,0.0000,0.1768,40.9372,6.9850,0.2653,51.6357,
556,0.0000,0.3752,37.4296,10.5066,0.0938,51.5947,
557,0.0000,0.0903,41.9675,9.8375,0.3610,47.7437,
558,0.1805,0.0903,39.8917,11.7329,0.0903,48.0144,
559,0.2620,0.0000,42.2707,10.8297,0.0873,46.5502,
560,0.2627,0.1751,40.2802,10.0701,0.0876,49.1243,
561,0.2639,0.1759,46.7018,7.8276,0.0000,45.0308,
562,0.0900,0.0000,44.6445,7.4707,0.2700,47.5248,
563,0.0895,0.3581,45.9266,8.4154,0.0895,45.1209,
564,0.1845,0.0923,42.8044,9.5018,0.2768,47.1402,
565,0.2653,0.0884,42.4403,11.5827,0.0000,45.6233,
566,0.0000,0.0908,44.7775,10.7175,0.4541,43.9600,
567,0.0864,0.0864,41.6595,9.6802,0.0864,48.4010,
568,0.1685,0.2527,46.1668,9.5198,0.2527,43.6394,
569,0.2580,0.0000,41.9604,8.2545,0.1720,49.3551,
570,0.2436,0.1218,40.8039,9.9878,0.3654,48.4775,
571,0.1261,0.0000,42.4968,10.4666,0.1261,46.7844,
572,0.1091,0.0000,36.2050,11.2323,0.0000,52.4537,
573,0.0000,0.1878,43.4742,11.8310,0.1878,44.3192,
574,0.0855,0.2566,40.3764,11.9760,0.2566,47.0488,
575,0.0000,0.0857,40.0171,10.7969,0.0857,49.0146,
576,0.0000,0.0924,41.0351,9.3346,0.0924,49.4455,
577,0.2500,0.0000,47.0833,8.5833,0.1667,43.9167,
578,0.0860,0.0860,42.2184,11.6079,0.2580,45.7438,
579,0.8073,0.3027,26.4379,7.3663,0.1009,64.9849,
580,0.2494,0.0831,42.1446,9.8919,0.0831,47.5478,
581,0.0000,0.0000,34.3600,10.3946,0.1925,55.0529,
582,0.1833,0.1833,46.9294,8.1577,0.1833,44.3630,
583,0.0830,0.1660,44.6473,8.6307,0.3320,46.1411,
584,0.4539,0.0756,40.5446,8.3207,0.0000,50.6051,
585,0.1810,0.0905,44.6154,10.2262,0.2715,44.6154,
586,0.0888,0.1776,45.8259,8.1705,0.3552,45.3819,
587,0.2070,0.1035,42.6501,10.0414,0.5176,46.4803,
588,0.1437,0.0000,17.9598,4.5977,0.2874,77.0115,
589,0.1261,0.1261,25.2207,4.5397,0.1261,69.8613,
590,0.2361,0.4723,25.8560,7.5561,0.0000,65.8796,
