投票所,親民,基進,時力,國民,綠黨,民進,台民
538,3.3636,2.7273,7.0000,34.8182,1.4545,27.2727,19.9091
539,3.3628,3.0973,6.6372,28.1416,2.7434,31.7699,20.3540
540,3.6082,3.0928,6.9072,28.3505,1.4433,33.1959,20.1031
541,4.2629,3.0195,8.2593,31.7052,2.6643,26.9094,20.6927
542,2.7978,2.9783,7.9422,36.1913,3.0686,28.7906,14.5307
543,3.7004,2.2563,6.9495,34.5668,2.0758,32.4910,13.0866
544,3.9711,3.4296,8.3935,30.2347,2.1661,32.3105,17.1480
545,2.9963,3.3708,6.9288,39.7940,2.8090,28.0899,12.7341
546,3.5879,2.9439,8.3717,37.0745,2.9439,28.4269,14.2594
547,2.8922,3.4181,10.5171,30.7625,2.5416,32.0771,15.2498
548,2.4762,3.7143,6.4762,35.9048,1.7143,31.7143,13.8095
549,4.2283,3.0655,8.6681,31.2896,1.7970,33.8266,13.6364
550,3.1847,2.6388,8.4622,30.7552,2.0928,35.1228,14.1947
551,3.6158,2.9379,8.2486,30.9605,3.0508,33.5593,14.8023
552,3.1216,3.0140,8.9343,31.0011,2.4758,30.5705,18.0840
553,3.6969,3.6969,8.8725,29.6673,1.4787,32.5323,17.4677
554,3.4164,3.5088,8.0332,32.3176,1.4774,32.5023,14.9584
555,3.8053,3.8938,6.9912,36.0177,2.2124,29.6460,14.5133
556,5.4256,2.9935,10.0094,34.2376,2.2451,24.8831,16.7446
557,4.4248,2.3009,10.4425,34.6903,1.5929,30.4425,13.8053
558,4.3478,2.6827,7.4931,32.8400,2.5902,30.6198,16.4662
559,5.2281,4.1825,0.6654,35.2662,2.2814,31.8441,16.9202
560,3.1441,1.9214,6.9869,33.4498,1.3974,33.7991,16.6812
561,3.9648,1.8502,8.1057,28.0176,2.3789,34.9780,16.8282
562,2.2462,2.4259,7.0979,31.8059,1.4376,37.7358,14.0162
563,4.3828,2.4150,7.3345,30.1431,0.9839,34.0787,16.2791
564,4.4627,3.3698,6.5574,32.4226,1.7304,32.9690,15.1184
565,4.0889,3.2889,8.6222,28.7111,2.3111,33.0667,16.2667
566,4.1247,3.0247,10.2658,30.6141,1.3749,32.3556,14.8488
567,3.5714,2.8912,7.7381,32.9932,1.7007,32.3980,15.2211
568,4.3515,3.3473,7.6151,29.5397,1.6736,36.2343,13.4728
569,2.9591,2.3499,6.2663,35.1610,2.4369,34.2907,14.4473
570,3.4696,1.7348,7.4349,34.2007,1.4870,33.9529,14.7460
571,4.4554,3.5891,7.1782,33.4158,1.9802,30.8168,15.0990
572,4.5455,2.3256,6.0254,40.5920,2.2199,26.9556,13.3192
573,3.2136,3.9698,6.8998,29.1115,2.2684,34.5936,16.0681
574,3.9724,3.2815,8.3765,31.6062,2.0725,32.5561,16.4076
575,3.9417,1.4567,6.5981,34.2759,2.2279,31.7909,16.8809
576,4.8938,4.7091,7.2946,30.6556,1.9391,31.5789,14.6814
577,3.6534,2.8887,7.1368,29.3968,2.6338,36.8734,14.2736
578,4.0068,2.8986,6.8201,29.8380,2.2165,35.0384,15.2600
579,4.8356,2.0309,3.6750,54.3520,1.5474,20.0193,9.6712
580,4.4850,3.5714,6.9767,24.6678,1.1628,42.1096,11.7110
581,4.3802,2.9823,6.3374,40.8201,1.5843,25.8155,14.5387
582,3.7718,3.6799,7.0837,31.0948,1.9319,34.2226,14.9034
583,3.0833,2.3333,6.1667,31.0833,1.2500,38.2500,14.3333
584,4.2683,3.7348,6.7073,31.5549,1.8293,33.6128,14.1768
585,4.4995,3.2140,7.2544,27.0891,1.7447,35.9045,15.5188
586,3.5273,3.4392,8.9947,31.4815,2.2046,34.7443,12.3457
587,4.0795,4.1841,8.7866,30.2301,1.8828,30.6485,15.6904
588,2.8796,1.7016,3.1414,65.0524,1.1780,12.8272,8.1152
589,4.0767,2.2782,4.0767,55.7554,0.5995,17.9856,10.0719
590,4.0615,2.6345,5.8178,55.3238,0.7684,16.4654,10.9769
