投票所,朱立凡,宋柏澄,洪慈庸,張睿倉,張烱春,楊瓊瓔,
591,0.0000,0.1027,52.1561,6.6735,0.5133,40.5544,
592,0.2454,0.0000,39.6319,6.3804,0.2454,53.4969,
593,0.0000,0.2247,40.0000,6.6292,0.2247,52.9213,
594,0.1143,0.0000,47.7714,5.9429,0.0000,46.1714,
595,0.1094,0.1094,48.2495,7.3304,0.0000,44.2013,
596,0.4287,0.1072,49.7320,7.7170,0.2144,41.8006,
597,0.1406,0.0000,44.5851,5.9072,0.2813,49.0858,
598,0.1988,0.0000,49.7018,7.3559,0.0994,42.6441,
599,0.1940,0.1940,44.1319,7.9534,0.0970,47.4297,
600,0.1119,0.0000,45.9732,8.0537,0.0000,45.8613,
601,0.3513,0.0000,47.3068,5.7377,0.0000,46.6042,
602,0.5277,0.1319,44.5910,8.3113,0.1319,46.3061,
603,0.1010,0.1010,44.3434,7.7778,0.1010,47.5758,
604,0.2962,0.0987,46.6930,6.9102,0.3949,45.6071,
605,0.3268,0.1089,46.2963,7.8431,0.0000,45.4248,
606,0.2513,0.0000,39.0704,7.6633,0.0000,53.0151,
607,0.0917,0.1835,41.7431,6.2385,0.2752,51.4679,
608,0.0900,0.2700,48.1548,7.2907,0.0000,44.1944,
609,0.0000,0.0000,42.2037,7.5884,0.0000,50.2079,
610,0.4615,0.1538,49.0769,7.2308,0.1538,42.9231,
611,0.0942,0.0942,43.5970,7.9096,0.0942,48.2109,
612,0.0000,0.1017,45.7782,7.5280,0.3052,46.2869,
613,0.2121,0.1060,43.1601,6.6808,0.5302,49.3107,
614,0.1081,0.2162,48.8649,6.7027,0.3243,43.7838,
615,0.3337,0.1112,42.3804,6.4516,0.3337,50.3893,
616,0.3198,0.1066,38.5928,8.3156,0.0000,52.6652,
617,0.3945,0.3945,49.3097,6.1144,0.0000,43.7870,
618,0.2535,0.0000,43.7262,6.9708,0.1267,48.9227,
619,0.3413,0.0000,47.5540,8.3049,0.4551,43.3447,
620,0.1261,0.0000,41.6141,8.3228,0.2522,49.6847,
621,0.0000,0.2469,43.8272,9.2593,0.2469,46.4198,
622,0.0000,0.1203,40.3129,7.9422,0.2407,51.3839,
623,0.0000,0.0000,47.9139,8.0754,0.0000,44.0108,
624,0.2331,0.0000,47.4359,9.9068,0.2331,42.1911,
625,0.0975,0.2924,49.5127,9.4542,0.4873,40.1559,
626,0.0000,0.0000,42.1978,9.2308,0.1099,48.4615,
627,0.0000,0.1495,45.7399,5.3812,0.5979,48.1315,
628,0.2392,0.3589,45.2153,6.8182,0.4785,46.8900,
629,0.5051,0.2020,40.3030,7.3737,0.1010,51.5152,
630,0.0000,0.0000,47.9145,6.0020,0.0000,46.0834,
631,0.0000,0.0000,45.2069,8.5772,0.2018,46.0141,
632,0.0898,0.0000,46.9479,8.1688,0.0898,44.7038,
633,0.1026,0.0000,43.1795,9.0256,0.0000,47.6923,
634,0.0000,0.2205,42.0066,9.2613,0.2205,48.2911,
635,0.0000,0.1041,40.8949,9.3652,0.0000,49.6358,
636,0.0984,0.0984,51.9685,6.6929,0.0000,41.1417,
637,0.1857,0.0000,46.8895,7.7066,0.0000,45.2182,
638,0.1086,0.1086,54.3974,6.2975,0.4343,38.6536,
639,0.0938,0.3752,50.1876,6.0038,0.0938,43.2458,
640,0.2037,0.2037,47.9633,6.4155,0.3055,44.9084,
641,0.1088,0.0000,43.5256,7.6170,0.1088,48.6398,
642,0.4730,0.0000,45.6008,7.7578,0.3784,45.7900,
643,0.2012,0.1006,52.2133,5.7344,0.1006,41.6499,
644,0.3168,0.2112,46.7793,7.2862,0.2112,45.1954,
645,0.2788,0.1859,49.8141,7.6208,0.0000,42.1004,
646,0.0967,0.0000,44.6809,5.6093,0.1934,49.4197,
647,0.0938,0.0000,45.0281,8.4428,0.0000,46.4353,
648,0.4517,0.0903,47.9675,7.4074,0.0000,44.0831,
649,0.4281,0.0856,49.2295,7.9623,0.0000,42.2945,
650,0.1761,0.0880,51.0563,7.6585,0.1761,40.8451,
651,0.4154,0.2077,46.2098,6.3344,0.0000,46.8328,
652,0.1250,0.1250,52.1250,4.8750,0.6250,42.1250,
653,0.1059,0.0000,51.4831,7.0975,0.1059,41.2076,
654,0.1344,0.1344,59.4086,5.3763,0.2688,34.6774,
655,0.2817,0.0939,52.0188,6.0094,0.0939,41.5023,
656,0.2457,0.1229,45.7002,5.7740,0.0000,48.1572,
657,0.2725,0.0908,41.1444,5.8129,0.1817,52.4977,
658,0.2676,0.0892,49.3310,4.9063,0.2676,45.1383,
659,0.0995,0.0995,47.2637,6.1692,0.0000,46.3682,
660,0.0966,0.0966,40.0000,5.7005,0.0966,54.0097,
661,0.1247,0.1247,42.5187,4.8628,0.0000,52.3691,
