投票所,親民,基進,時力,國民,綠黨,民進,台民
591,2.1807,2.6999,7.7882,25.8567,2.0768,40.8100,14.0187
592,3.9216,2.4510,6.9853,39.9510,2.6961,29.7794,10.9069
593,3.6830,2.6786,7.5893,35.8259,2.4554,29.3527,14.5089
594,2.3756,2.4887,7.6923,33.1448,2.6018,34.3891,14.2534
595,5.3611,1.5317,6.5646,31.8381,2.2976,35.8862,12.9103
596,3.7116,3.1813,7.5292,28.9502,1.5907,37.7519,13.9979
597,2.5921,4.0928,4.7749,33.8336,2.4557,34.7885,13.7790
598,3.6926,2.1956,7.7844,33.2335,1.9960,37.0259,11.8762
599,5.6513,1.5326,8.5249,34.5785,2.9693,27.3946,14.8467
600,3.8589,2.6461,9.9228,34.5094,2.5358,29.3275,13.6714
601,4.1715,2.8969,6.1414,35.3418,2.7810,35.4577,11.1240
602,3.2765,2.0970,7.6016,29.3578,1.9659,34.2071,16.3827
603,4.1247,2.1127,5.1308,34.4064,2.0121,36.7203,12.4748
604,3.4551,3.1589,10.4640,33.7611,2.0731,32.7739,11.6486
605,5.4255,2.2340,7.8723,32.5532,2.0213,32.1277,14.6809
606,3.3962,1.8868,6.0377,40.5031,2.6415,29.0566,14.5912
607,5.2007,2.7372,7.0255,38.2299,1.5511,27.9197,14.3248
608,4.5822,3.5939,7.5472,31.3567,1.7969,32.4349,14.1959
609,2.9136,2.2893,6.3476,40.1665,1.4568,28.0957,15.0884
610,3.3846,2.9231,7.6923,30.0000,1.5385,35.2308,15.6923
611,4.5752,4.2017,7.4697,34.0803,3.1746,29.6919,14.5658
612,4.6138,2.8084,6.6199,33.6008,2.3069,32.2969,14.0421
613,3.9153,3.1746,8.1481,35.9788,1.7989,30.0529,13.6508
614,4.2418,3.0753,8.9077,30.8590,1.4846,33.9343,14.7402
615,4.3716,2.0765,7.7596,36.0656,2.9508,29.1803,13.0055
616,3.9278,3.3970,7.6433,39.1720,2.0170,26.4331,13.8004
617,3.3268,2.9354,6.8493,36.3992,1.5656,36.7906,9.3933
618,3.3920,3.1407,8.7940,34.7990,3.2663,28.1407,14.8241
619,4.2601,2.8027,7.8475,32.6233,2.5785,30.7175,14.4619
620,3.6662,2.6549,7.7118,35.5247,3.0341,28.8243,16.3085
621,4.8426,3.6320,5.8111,37.7724,1.5738,27.4818,15.7385
622,5.1826,2.1201,8.4806,36.1602,2.8269,26.3840,14.4876
623,3.5135,3.1081,9.4595,32.7027,2.4324,34.8649,11.3514
624,4.7181,4.6030,8.7457,28.7687,3.5673,25.0863,21.4039
625,4.0619,3.8685,8.2205,28.9168,2.1277,32.1083,17.9884
626,5.3319,1.9587,6.3112,34.4940,2.5027,30.1415,15.7780
627,3.3183,3.6199,7.5415,34.9925,1.6591,33.0317,12.0664
628,3.3493,3.5885,6.8182,33.8517,1.9139,34.0909,13.0383
629,3.8845,2.1912,7.6693,37.3506,2.9880,29.7809,13.2470
630,4.2424,2.1212,9.2929,32.4242,2.8283,31.4141,14.3434
631,4.3129,4.0120,8.1244,32.2969,2.5075,30.1906,15.5466
632,3.5104,2.8803,8.0108,30.3330,2.0702,34.8335,15.2115
633,4.0000,3.7949,7.6923,34.7692,1.7436,31.0769,12.8205
634,5.7987,2.9540,7.6586,35.1204,2.1882,28.7746,14.2232
635,4.6344,2.9866,10.9166,34.6035,2.2657,24.9228,15.8599
636,4.7758,2.1442,7.0175,30.7992,2.8265,34.2105,13.3528
637,4.0376,2.6291,6.7606,30.4225,2.9108,36.1502,13.6150
638,4.5802,2.7263,7.8517,24.7546,1.8539,37.6227,17.1210
639,4.1549,3.4939,6.3267,29.8395,1.1331,37.6771,13.4089
640,3.5678,4.4852,8.5627,32.8236,1.4271,30.4791,14.0673
641,4.4039,3.2223,7.8410,36.7347,2.4705,29.0011,12.4597
642,2.8409,2.7462,6.3447,32.8598,1.5152,35.6061,15.0568
643,3.7074,2.8056,7.7154,30.0601,1.5030,36.9739,14.0281
644,3.8176,2.5451,6.4687,34.4645,1.4846,31.8134,13.8918
645,3.9511,3.1044,7.7140,26.0583,2.0696,38.6642,14.5814
646,2.9014,3.4816,6.3830,33.3656,2.4178,34.7195,13.7331
647,4.5830,2.7498,6.3245,31.8973,2.0165,35.3804,13.9322
648,4.3836,3.2877,7.0320,31.5982,1.8265,33.3333,14.7945
649,3.7931,3.6207,7.7586,30.6897,1.4655,34.6552,13.7069
650,3.8938,3.8053,8.1416,26.3717,1.8584,37.6106,15.4867
651,3.1283,1.7727,5.8394,34.0980,1.4599,37.7477,12.3045
652,4.7323,2.9888,5.6040,30.7597,2.2416,39.1034,11.3325
653,4.6365,3.4773,8.3246,27.9241,2.5290,33.6143,16.2276
654,2.5850,3.1293,8.7075,25.8503,1.7687,44.2177,9.9320
655,2.6242,2.9991,5.7170,28.0225,1.7807,42.9241,12.5586
656,5.7072,2.7295,5.5831,30.5211,2.3573,38.0893,11.6625
657,4.5208,2.7125,5.0633,38.8788,1.3562,31.1935,13.0199
658,3.7601,2.3277,6.4458,29.0958,1.6115,40.4655,12.0859
659,3.1124,2.0080,7.1285,29.1165,1.4056,39.9598,13.0522
660,4.3186,3.3589,5.8541,38.5797,1.6315,31.7658,9.7889
661,4.8327,2.9740,6.3197,33.9529,2.8501,31.9703,12.1437
