投票所,朱立凡,宋柏澄,洪慈庸,張睿倉,張烱春,楊瓊瓔,
493,0.2567,0.0000,49.4223,6.6752,0.2567,43.3890,
494,0.0000,0.0000,48.0154,7.2983,0.1280,44.5583,
495,0.0000,0.0000,45.9079,6.7775,0.2558,47.0588,
496,0.1109,0.3326,45.8980,7.8714,0.0000,45.7871,
497,0.3708,0.2472,44.6230,6.6749,0.8653,47.2188,
498,0.1031,0.2062,51.2371,5.9794,0.1031,42.3711,
499,0.5160,0.3096,46.9556,5.0568,0.1032,47.0588,
500,0.2320,0.0000,51.5081,7.3086,0.2320,40.7193,
501,0.3538,0.1179,54.9528,5.5425,0.3538,38.6792,
502,0.1028,0.1028,45.4265,6.2693,0.2055,47.8931,
503,0.2625,0.2625,35.3018,6.9554,0.1312,57.0866,
504,0.1420,0.0000,47.5852,6.1080,0.1420,46.0227,
505,0.2424,0.0000,36.9697,6.1818,0.1212,56.4848,
506,0.3077,0.3077,42.5641,7.3846,0.2051,49.2308,
507,0.0000,0.1024,48.1064,6.8577,0.2047,44.7288,
508,0.0000,0.2146,42.5966,6.5451,0.0000,50.6438,
509,0.0000,0.1279,48.9770,6.0102,0.0000,44.8849,
510,0.3484,0.0000,48.4321,5.8072,0.2323,45.1800,
511,0.1081,0.0000,52.6486,6.2703,0.2162,40.7568,
512,0.1001,0.1001,51.4515,8.2082,0.0000,40.1401,
513,0.1235,0.2469,51.1111,6.4198,0.0000,42.0988,
514,0.1133,0.0000,53.1144,6.2288,0.0000,40.5436,
515,0.0000,0.0000,52.3044,7.7170,0.2144,39.7642,
516,0.0000,0.2979,52.0357,7.4479,0.0993,40.1192,
517,0.1127,0.0000,58.8501,6.0879,0.1127,34.8365,
518,0.0903,0.3613,50.6775,6.2331,0.5420,42.0958,
519,0.0000,0.0000,49.3320,7.9137,0.1028,42.6516,
520,0.2270,0.1135,52.0999,6.8104,0.2270,40.5221,
521,0.1910,0.2865,48.9971,6.3037,0.1910,44.0306,
522,0.2291,0.4582,50.6300,5.8419,0.0000,42.8408,
523,0.2454,0.1227,54.3558,6.5031,0.2454,38.5276,
524,0.1504,0.1504,43.9098,9.7744,0.0000,46.0150,
525,0.0000,0.1227,46.6258,6.3804,0.2454,46.6258,
526,0.0895,0.0895,54.5210,5.6401,0.4476,39.2122,
527,0.0000,0.1901,52.9468,5.3232,0.2852,41.2548,
528,0.0000,0.5708,46.4612,7.0776,0.0000,45.8904,
529,0.1139,0.0000,49.2027,5.0114,0.4556,45.2164,
530,0.2463,0.7389,52.0936,6.6502,0.2463,40.0246,
531,0.2927,0.1951,52.9756,6.1463,0.2927,40.0976,
532,0.0000,0.1264,55.2465,5.9418,0.0000,38.6852,
533,0.0000,0.3304,49.0088,6.8282,0.2203,43.6123,
534,0.1112,0.0000,53.7264,6.3404,0.1112,39.7108,
535,0.0987,0.5923,51.9250,5.8243,0.0000,41.5597,
536,0.2725,0.1817,46.5032,4.8138,0.0000,48.2289,
537,0.0978,0.1955,53.2747,5.8651,0.1955,40.3715,
