投票所,親民,基進,時力,國民,綠黨,民進,台民
493,3.2510,3.1209,7.5423,29.7789,1.8205,35.6307,16.3849
494,3.4615,2.5641,5.7692,31.6667,1.5385,38.0769,14.3590
495,4.2254,3.0730,7.1703,36.3636,1.0243,36.3636,10.3713
496,3.7946,2.1205,5.5804,30.0223,1.6741,35.4911,17.8571
497,2.8750,2.2500,6.3750,31.8750,2.1250,35.3750,14.2500
498,4.3523,3.4197,5.5959,28.2902,1.7617,38.1347,14.5078
499,3.9501,1.8711,6.9647,32.1206,1.2474,36.5904,13.3056
500,3.1991,2.1327,6.5166,26.8957,1.7773,41.3507,12.7962
501,3.3175,2.6066,6.3981,27.8436,0.9479,41.5877,13.8626
502,3.3092,3.1024,6.5150,29.2658,1.4478,38.6763,13.7539
503,3.0065,1.6993,5.3595,41.9608,1.5686,30.4575,11.8954
504,3.1294,2.2760,6.4011,32.4324,2.1337,38.9758,11.0953
505,3.8601,1.4475,8.6852,39.9276,0.9650,27.3824,12.7865
506,4.4838,2.2941,8.7591,27.8415,1.8770,37.6434,13.1387
507,3.7910,2.7664,6.8648,28.3811,1.6393,41.2910,12.6025
508,3.6573,2.0899,6.8966,34.3783,0.9404,32.8109,15.3605
509,5.2219,3.9164,6.2663,25.1958,1.6971,42.8198,10.9661
510,3.6514,2.5913,6.5960,29.5642,1.5312,37.4558,14.9588
511,4.9288,4.2716,8.2147,25.7393,2.9573,36.1446,14.3483
512,3.8000,3.3000,8.7000,27.6000,1.3000,35.1000,17.2000
513,4.0892,3.4696,8.1784,27.0136,1.6109,36.1834,15.9851
514,2.9579,1.5927,8.3049,25.3697,1.7065,42.2071,14.7895
515,4.1801,3.5370,7.2883,27.4384,1.7149,38.4780,13.3976
516,2.7972,2.6973,7.8921,27.1728,2.0979,39.4605,14.9850
517,2.7088,3.2731,7.7878,23.7020,1.9187,43.4537,14.3341
518,3.9855,3.8949,7.8804,26.7210,1.9928,39.3116,13.1341
519,4.2708,3.5417,7.0833,25.7292,2.8125,38.3333,14.7917
520,4.2697,3.7079,5.9551,25.5056,1.1236,42.4719,12.0225
521,4.5758,2.3832,6.0057,27.6454,2.3832,41.5634,11.7255
522,5.1546,2.5200,6.6438,28.2932,1.6037,39.4044,13.6312
523,4.8840,2.6862,6.4713,27.1062,2.3199,39.6825,14.4078
524,4.7688,3.3237,7.2254,35.5491,1.4451,29.9133,14.8844
525,4.0441,2.2059,8.0882,36.7647,2.2059,31.0049,13.7255
526,3.3006,2.4086,6.7797,27.2971,1.6057,44.0678,10.8831
527,3.4516,3.2598,6.8073,28.2838,1.7258,40.9396,12.6558
528,3.8902,3.0892,7.2082,30.7780,2.5172,32.6087,14.7597
529,5.0114,3.0752,6.8337,29.8405,0.9112,40.6606,10.5923
530,3.7406,2.6185,6.3591,27.6808,2.3691,39.2768,13.8404
531,3.2195,2.9268,5.9512,29.2683,2.3415,36.6829,16.2927
532,3.9092,2.5221,6.5574,26.9861,2.0177,42.2446,12.7364
533,4.4494,2.1135,5.4505,31.1457,3.0033,37.7086,12.9032
534,4.8260,2.4691,7.0707,23.5690,1.3468,41.8631,15.3760
535,3.6816,2.3881,5.7711,25.6716,2.0896,43.5821,12.9353
536,3.2468,3.2468,7.6994,31.6327,1.7625,35.8998,12.7087
537,3.1558,2.3669,7.4951,26.5286,0.9862,42.7022,13.8067
