,,,,"朱立凡
宗教聯盟","宋柏澄
台澎黨","洪慈庸
無黨籍","張睿倉
台灣民眾黨","張烱春
喜樂島聯盟","楊瓊瓔
中國國民黨",合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 廣福里,452,3,0,277,19,2,334,0,0,23,1,10,34,3,2,234,3,2,12,0,174,94,2,3,2,27,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 廣福里,453,2,0,249,36,1,501,1,3,30,3,17,30,9,2,447,4,0,4,0,184,80,1,0,1,7,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 仁里里,454,1,1,358,23,2,360,0,1,24,3,16,45,1,0,273,6,2,15,1,243,70,2,1,0,23,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 義里里,455,1,1,332,35,1,420,1,3,28,6,21,58,4,1,312,2,2,17,0,220,99,0,0,1,16,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 義里里,456,3,2,300,44,1,412,1,3,26,4,21,33,2,1,350,5,1,11,3,177,100,1,1,1,22,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 義里里,457,3,1,319,36,0,387,1,8,31,5,21,53,9,2,288,5,0,16,0,198,96,3,2,2,8,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 義德里,458,1,0,353,45,1,563,1,0,41,2,21,58,3,0,433,3,1,28,4,242,109,0,1,1,20,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 義德里,459,1,2,419,53,0,492,0,3,32,10,17,56,5,2,373,5,1,21,0,279,141,0,2,2,13,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 后里里,460,0,4,575,53,1,451,0,1,30,1,37,83,5,5,371,2,2,23,3,347,152,0,0,0,29,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 后里里,461,1,0,471,42,0,426,1,1,30,2,26,67,4,1,330,6,2,18,2,291,131,0,2,1,17,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 后里里,462,2,0,330,44,1,413,1,2,28,3,25,45,2,1,297,4,5,15,2,218,100,2,3,2,22,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 厚里里,463,0,0,370,29,0,344,0,0,26,5,19,41,2,1,266,6,1,13,2,246,109,0,0,1,14,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 厚里里,464,4,1,376,31,0,465,1,2,23,5,13,70,1,1,309,10,0,18,1,257,114,1,0,0,29,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩東里,465,0,4,409,23,0,422,1,1,27,1,23,49,3,3,323,3,0,14,1,252,114,1,4,0,19,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩東里,466,1,0,398,43,1,445,1,0,34,1,25,44,4,1,337,1,0,11,1,275,116,1,1,1,24,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩東里,467,0,0,446,54,0,408,0,1,33,2,24,46,8,1,314,7,2,11,1,282,136,0,1,0,36,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩東里,468,0,1,452,61,3,391,2,1,25,1,26,55,8,4,314,6,1,15,0,296,122,0,0,1,23,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩西里,469,1,0,341,21,1,301,1,0,37,4,14,47,5,0,208,4,2,7,1,198,91,0,1,0,28,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩西里,470,1,1,420,46,1,264,1,0,22,1,18,58,1,0,202,1,1,13,2,276,85,1,0,1,29,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩南里,471,2,2,440,41,0,407,2,2,32,2,39,73,3,2,286,6,1,14,2,259,130,0,2,2,28,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩南里,472,0,0,465,34,3,365,0,3,23,6,31,61,4,1,267,5,2,19,0,304,100,1,0,2,23,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩南里,473,1,2,426,28,1,322,0,0,34,1,16,62,0,0,249,6,2,8,3,256,111,1,3,4,27,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩北里,474,1,0,466,43,2,431,1,0,36,3,29,71,2,2,320,12,3,11,1,291,121,2,1,2,27,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩北里,475,0,1,406,42,1,357,0,1,19,0,24,48,3,0,278,2,0,15,1,276,90,0,0,3,34,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 墩北里,476,1,0,455,44,0,348,1,2,22,1,12,54,6,1,257,1,0,25,2,308,102,1,4,1,36,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 中和里,477,1,1,515,47,2,360,0,1,31,1,17,72,4,8,273,4,0,20,3,332,109,1,1,0,39,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 中和里,478,1,2,488,41,1,377,0,0,41,4,24,63,7,4,280,6,4,22,4,280,132,2,1,2,28,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 舊社里,479,2,0,439,42,1,358,3,2,28,2,14,76,4,1,240,8,3,16,0,267,115,4,1,3,43,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 舊社里,480,3,2,386,37,0,304,2,2,32,2,9,47,2,2,212,8,3,12,5,252,114,0,1,1,20,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 聯合里,481,3,2,263,22,2,230,1,1,28,2,23,31,4,0,171,2,1,7,1,172,51,0,2,6,14,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 聯合里,482,1,0,316,18,0,298,2,1,17,1,17,41,1,1,210,4,4,10,2,230,62,2,0,1,24,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 太平里,483,1,2,395,19,0,327,0,1,16,3,17,59,2,0,255,4,2,6,3,236,87,2,2,3,24,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 太平里,484,2,0,368,31,4,381,1,0,28,1,23,48,0,1,267,4,0,16,2,234,117,1,0,4,26,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 眉山里,485,0,0,390,41,0,380,0,2,26,4,19,48,6,2,264,2,2,11,2,239,122,1,2,3,29,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 眉山里,486,0,0,410,41,3,370,2,5,37,5,29,68,5,2,269,8,1,10,1,232,107,2,2,4,25,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 眉山里,487,0,1,302,38,0,346,1,1,24,0,12,51,2,5,269,0,1,15,0,183,100,1,1,1,11,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 月眉里,488,3,1,387,26,4,277,0,3,23,6,11,45,2,5,209,4,0,8,4,260,93,0,1,0,26,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 月眉里,489,0,1,386,34,3,285,1,0,32,1,19,49,4,1,214,1,2,7,3,258,86,1,1,0,24,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 公館里,490,1,4,419,20,1,314,0,1,15,1,24,50,1,2,233,3,1,12,1,304,75,1,1,0,21,,,,,,,,,,,,,,,,,,,
