投票所,顏寬恆,陳柏惟
319,44.4115,55.5885
320,50.1044,49.8956
321,48.5175,51.4825
322,53.1108,46.8892
323,55.0214,44.9786
324,46.7391,53.2609
325,48.3871,51.6129
326,52.6022,47.3978
327,53.2344,46.7656
328,53.2511,46.7489
329,52.8676,47.1324
330,51.6571,48.3429
331,51.1468,48.8532
332,50.8126,49.1874
333,50.8634,49.1366
334,51.6876,48.3124
335,51.1886,48.8114
336,51.5050,48.4950
337,49.6909,50.3091
338,58.6498,41.3502
339,50.0509,49.9491
340,49.6914,50.3086
341,48.0793,51.9207
342,54.1018,45.8982
343,46.0688,53.9312
344,49.4532,50.5468
345,44.1589,55.8411
346,47.5717,52.4283
347,44.8454,55.1546
348,50.7879,49.2121
349,51.1600,48.8400
350,40.0474,59.9526
351,44.7430,55.2570
352,44.3526,55.6474
353,48.8000,51.2000
354,41.8465,58.1535
355,58.3236,41.6764
356,56.3057,43.6943
