投票所,親民,基進,時力,國民,綠黨,民進,台民
319,4.1708,3.6743,7.4479,29.3942,1.8868,36.0477,13.2075
320,4.0212,4.9735,8.1481,35.2381,2.2222,29.2063,12.8042
321,4.7619,5.3114,9.3407,30.3114,1.3736,33.5165,11.2637
322,3.4591,4.5597,7.7044,29.7170,0.9434,34.9057,12.7358
323,2.5668,3.1016,6.5241,37.5401,2.7807,30.4813,13.1551
324,3.9088,4.0174,7.1661,30.6189,1.8458,37.4593,9.8806
325,4.3360,5.0136,7.1816,33.4688,1.0840,33.6043,11.3821
326,3.4123,3.4123,6.9194,34.5972,1.6114,32.3223,13.4597
327,4.5113,4.4039,7.3040,37.2718,2.1482,27.3899,13.2116
328,4.7149,5.5921,5.8114,38.1579,2.7412,27.7412,10.0877
329,3.5865,3.3755,7.8059,40.5063,1.1603,29.2194,10.7595
330,4.3764,3.5011,4.5952,39.1685,1.2035,30.4158,12.5821
331,4.2296,5.8157,7.8550,36.6314,1.8882,28.1722,12.3112
332,3.2609,4.1304,8.6957,33.0435,1.7391,33.0435,11.6304
333,4.3619,5.1696,8.7237,34.2488,1.6155,27.4637,12.4394
334,2.8791,4.6065,8.0614,37.4280,2.5912,28.1190,13.6276
335,2.9412,6.0458,7.0261,36.2745,2.7778,30.0654,8.9869
336,4.5802,3.8168,7.7184,33.7574,2.8838,30.1951,12.5530
337,2.5539,4.5491,6.6241,32.8013,2.2346,36.7917,10.6145
338,4.3042,4.1607,3.8737,38.7374,3.8737,26.6858,16.6428
339,4.6122,5.3459,7.4423,32.1803,1.6771,33.2285,11.7400
340,5.0412,4.8354,7.8189,32.3045,1.5432,32.2016,13.1687
341,3.3375,4.6972,9.0235,32.6329,2.4722,31.7676,12.6082
342,3.1504,5.2846,7.3171,41.2602,1.6260,27.3374,10.5691
343,4.6740,5.5351,8.6101,33.9483,1.4760,29.2743,13.7761
344,3.9007,4.0189,8.6288,34.9882,2.4823,27.1868,14.0662
345,3.1214,5.5491,11.4451,31.7919,1.9653,25.2023,19.4220
346,3.6667,5.0000,9.7778,30.5556,1.0000,33.1111,12.6667
347,3.2454,6.5923,5.4767,30.1217,2.3327,35.3955,11.3590
348,5.2023,6.0116,8.3237,30.0578,2.1965,31.6763,10.2890
349,3.5635,4.6771,7.0156,37.4165,1.7817,27.5056,12.1381
350,3.2787,3.8642,7.0258,27.6347,2.4590,38.2904,12.4122
351,3.2864,4.6948,7.6291,30.5164,1.7606,35.9155,10.5634
352,4.7619,3.0423,6.8783,30.5556,2.3810,36.5079,11.7725
353,5.3215,4.4346,8.6475,31.9290,1.6630,30.8204,12.5277
354,3.6428,4.4653,7.6381,28.6722,1.7626,38.7779,10.9283
355,2.5057,2.9613,6.7198,42.0273,1.9362,27.1071,12.9841
356,4.8689,3.9950,6.6167,41.1985,2.1223,23.5955,13.1086
