投票所,顏寬恆,陳柏惟
198,38.3701,61.6299
199,51.3126,48.6874
200,44.8718,55.1282
201,50.6637,49.3363
202,38.7413,61.2587
203,55.1913,44.8087
204,48.2353,51.7647
205,50.2063,49.7937
206,39.5085,60.4915
207,41.8678,58.1322
208,44.5378,55.4622
209,42.8375,57.1625
210,50.5732,49.4268
211,45.1799,54.8201
212,49.0530,50.9470
213,47.6608,52.3392
214,44.6735,55.3265
215,44.3396,55.6604
216,40.4975,59.5025
217,39.8039,60.1961
218,40.2730,59.7270
219,37.5847,62.4153
220,41.9580,58.0420
221,37.2121,62.7879
222,39.7783,60.2217
223,46.2485,53.7515
224,53.0882,46.9118
225,45.1895,54.8105
226,52.9335,47.0665
227,47.7333,52.2667
228,46.0358,53.9642
229,49.8186,50.1814
230,44.8878,55.1122
231,45.6227,54.3773
232,56.4018,43.5982
233,55.7692,44.2308
234,49.1228,50.8772
235,51.0116,48.9884
236,50.4601,49.5399
237,47.4341,52.5659
238,47.6923,52.3077
239,49.2114,50.7886
240,45.9662,54.0338
241,49.3421,50.6579
242,45.7227,54.2773
243,44.1645,55.8355
244,47.1616,52.8384
245,51.3539,48.6461
246,49.4340,50.5660
247,53.1200,46.8800
248,53.8028,46.1972
249,56.5766,43.4234
250,58.3871,41.6129
251,53.0864,46.9136
252,51.1980,48.8020
253,62.3431,37.6569
254,56.4516,43.5484
255,53.8373,46.1627
256,52.0270,47.9730
257,61.3527,38.6473
258,54.0091,45.9909
259,56.6285,43.3715
260,52.9517,47.0483
261,52.9046,47.0954
262,55.1887,44.8113
263,74.8264,25.1736
264,54.6999,45.3001
265,48.8423,51.1577
266,61.2991,38.7009
267,51.5000,48.5000
268,56.0709,43.9291
