投票所,親民,基進,時力,國民,綠黨,民進,台民
198,6.4407,5.2542,8.9831,25.7627,2.0339,37.1186,11.3559
199,3.3735,3.3735,8.1928,41.4458,2.8916,23.8554,12.5301
200,3.9620,5.2298,7.2900,32.1712,2.0602,31.6957,14.4216
201,3.7486,4.7409,7.4972,37.7067,3.0871,30.7607,9.3716
202,3.6313,6.4246,5.3073,26.9553,2.2346,40.2235,11.1732
203,5.1075,3.7634,5.3763,38.4409,1.3441,25.5376,14.5161
204,4.9069,3.3841,10.9983,33.8409,1.8613,31.4721,9.4755
205,3.4435,6.1983,7.1625,34.4353,2.0661,29.2011,13.9118
206,2.2770,6.2619,8.5389,28.4630,2.4668,37.7609,11.7647
207,4.5259,4.0948,8.7284,26.7241,1.7241,37.1767,13.5776
208,4.7445,5.5961,8.0292,30.9002,2.4331,32.2384,12.6521
209,4.7945,3.5616,8.7671,31.0959,2.4658,33.2877,13.9726
210,4.9118,3.6524,7.1788,34.5088,2.5189,31.8640,12.0907
211,3.5613,7.6923,9.1168,29.9145,2.7066,31.1966,13.9601
212,4.8123,4.3311,5.9673,30.0289,1.2512,35.5149,14.5332
213,4.6176,3.8961,5.0505,32.6118,1.7316,35.3535,12.8427
214,3.7120,4.3870,7.6490,30.2587,1.3498,37.2328,11.8110
215,4.3632,4.3632,9.3160,30.6604,2.1226,32.9009,13.9151
216,3.5211,5.2314,7.0423,26.1569,2.8169,37.9276,12.5755
217,3.4014,5.1506,8.0661,27.7940,3.1098,34.4023,14.8688
218,2.8736,6.8966,5.8621,27.2414,2.0690,38.9655,12.9885
219,3.8375,6.5463,9.2551,25.8465,3.0474,35.6659,13.6569
220,3.8778,5.4054,7.5206,28.2021,2.2327,35.4877,12.8085
221,3.9616,4.8019,9.1236,24.0096,2.2809,37.5750,13.9256
222,4.0244,5.1220,5.6098,24.5122,2.6829,39.3902,15.3659
223,3.4230,5.6235,7.8240,33.6186,2.3227,32.6406,11.8582
224,4.4053,5.2863,7.3421,38.0323,2.3495,27.0191,12.3348
225,4.2151,5.5233,8.8663,32.2674,2.3256,31.3953,12.7907
226,5.2356,4.3194,6.6754,36.3874,1.7016,28.0105,12.6963
227,5.1656,4.6358,7.5497,32.9801,0.9272,30.7285,13.3775
228,3.8217,4.9682,9.1720,28.2803,2.0382,34.0127,13.6306
229,2.7879,4.1212,7.8788,38.1818,1.9394,29.3333,12.7273
230,4.1872,3.6946,8.7438,29.1872,3.9409,29.8030,16.7488
231,4.8934,4.1405,7.1518,29.6110,0.6274,36.1355,14.3036
232,5.8625,3.6077,6.8771,34.2728,1.9166,32.5817,11.2740
233,4.3531,5.5623,5.4414,38.3313,2.9021,29.1415,10.7618
234,4.1357,6.4687,7.6352,33.5101,1.9088,27.8897,15.3765
235,5.6296,7.8519,5.6296,32.5926,2.5185,28.4444,13.0370
236,3.8580,6.1728,7.2531,33.1790,2.3148,30.7099,14.3519
237,4.5706,3.4626,9.9723,29.5014,3.0471,31.5789,14.9584
238,3.5439,4.9307,7.0878,32.3575,1.8490,29.8921,16.3328
239,4.4025,5.9748,9.2767,33.0189,2.9874,25.6289,15.2516
240,6.0311,3.8911,8.1712,28.4047,2.3346,37.7432,10.3113
241,5.6653,4.8748,8.3004,31.3570,2.7668,29.7760,14.2292
242,6.2868,5.5992,7.4656,27.7996,2.2593,30.8448,15.4224
243,4.5872,4.9803,7.9948,28.0472,3.5387,30.9305,15.9895
244,4.2254,4.6587,8.8841,30.4442,2.1668,30.2275,17.0098
245,5.4178,5.0505,8.6318,31.3131,2.5712,26.9054,16.4371
246,3.8095,7.2381,9.1429,27.8095,2.6667,31.0476,13.7143
247,3.7277,3.8898,5.5105,32.5770,1.6207,33.8736,12.8039
248,5.0491,4.3478,7.2931,31.8373,2.1038,29.3128,17.2511
249,5.4446,3.9927,7.8040,30.4900,2.5408,27.7677,16.3339
250,3.1590,4.2484,5.6645,32.5708,2.2876,32.2440,15.5773
251,5.7796,2.9570,7.3925,36.0215,1.8817,27.9570,14.7849
252,4.8208,5.5624,7.4166,31.2732,2.5958,28.3066,17.1817
253,4.0559,3.7762,7.8322,34.6853,1.8182,26.2937,15.5245
254,4.1620,4.0495,8.9989,37.0079,1.4623,24.5219,18.1102
255,4.4843,5.6054,6.5022,32.9596,1.6816,29.2601,14.2377
256,4.6615,4.9945,6.9922,30.4107,2.6637,30.9656,15.8713
257,0.9576,0.5472,8.4815,40.9029,2.4624,27.4966,16.9631
258,5.3731,5.3731,5.6716,33.1343,1.1940,30.1493,15.6716
259,4.8860,6.0261,7.4919,33.8762,2.1173,27.8502,15.3094
260,6.1457,5.0922,6.5847,33.6260,3.3363,24.4952,18.7006
261,4.3659,5.3015,6.5489,36.4865,1.4553,31.2890,10.6029
262,3.7209,3.8760,6.9767,36.4341,1.7054,26.5116,15.8140
263,4.7154,3.0894,3.2520,57.8862,1.9512,13.4959,11.2195
264,3.9019,4.6823,9.2531,37.0123,1.8952,25.6410,13.7124
265,4.5356,4.7516,7.3434,35.3132,1.6199,30.4536,11.9870
266,4.7120,2.6178,6.4136,46.3351,1.5707,23.0366,12.4346
267,3.5891,4.9505,6.1881,39.7277,1.9802,29.0842,10.0248
268,3.6161,2.9207,7.0932,40.8901,2.2253,30.3199,9.4576
