投票所,顏寬恆,陳柏惟
357,44.2238,55.7762
358,42.7653,57.2347
359,38.8715,61.1285
360,42.1844,57.8156
361,43.4948,56.5052
362,46.5882,53.4118
363,42.4309,57.5691
364,45.1472,54.8528
365,42.9006,57.0994
366,44.1980,55.8020
367,67.5248,32.4752
368,52.7473,47.2527
369,53.5714,46.4286
370,48.3871,51.6129
371,55.2283,44.7717
372,44.3640,55.6360
373,50.7952,49.2048
374,47.8809,52.1191
375,45.0939,54.9061
376,45.8932,54.1068
377,43.9685,56.0315
378,47.6554,52.3446
379,39.5833,60.4167
380,42.4342,57.5658
381,49.4728,50.5272
382,43.2335,56.7665
383,50.3650,49.6350
384,43.5759,56.4241
385,48.0435,51.9565
386,45.8378,54.1622
387,47.7506,52.2494
388,46.0754,53.9246
389,43.5514,56.4486
390,40.2906,59.7094
391,49.7537,50.2463
392,45.8268,54.1732
393,45.8889,54.1111
394,50.5985,49.4015
395,52.6163,47.3837
396,48.6792,51.3208
397,49.7917,50.2083
398,47.9199,52.0801
399,47.3062,52.6938
400,50.2897,49.7103
401,46.8725,53.1275
402,57.7689,42.2311
403,64.1196,35.8804
