投票所,親民,基進,時力,國民,綠黨,民進,台民
357,2.7803,5.4709,7.7130,31.9283,2.2422,35.0673,12.1973
358,3.7190,4.8554,9.1942,27.4793,2.3760,30.7851,17.6653
359,3.4304,6.4449,5.3015,27.5468,2.4948,37.0062,13.0977
360,3.4826,5.6716,6.7662,32.4378,1.1940,32.9353,14.2289
361,4.5028,4.2214,9.2871,31.8011,1.7824,31.3321,13.2270
362,4.3310,4.8724,9.1261,35.1121,3.0162,30.6265,10.9822
363,3.5359,4.9724,7.6243,30.1657,2.0994,36.7956,9.9448
364,3.0668,8.3242,9.4195,33.1873,1.9715,28.1490,13.1435
365,4.7475,6.4646,8.6869,29.4949,2.6263,30.7071,12.1212
366,3.5029,6.6722,8.8407,31.8599,1.8349,28.6072,15.6797
367,4.9123,3.8596,5.0877,54.0351,1.7544,18.4211,7.1930
368,2.7211,4.2177,5.3061,41.0884,1.6327,30.2041,11.1565
369,3.2879,4.4106,7.0569,38.4122,2.4860,26.6239,14.0337
370,6.4252,7.0093,10.7477,30.0234,4.6729,18.6916,17.8738
371,4.6784,4.2398,7.8947,39.7661,3.9474,24.1228,11.5497
372,4.3655,8.4264,9.0355,30.9645,2.6396,24.0609,17.4619
373,3.9487,4.9358,6.9102,38.5982,1.6782,28.8253,11.6486
374,4.2841,5.4115,9.6956,34.0474,1.8038,28.7486,12.2886
375,3.0462,4.5168,7.3529,32.1429,2.4160,33.6134,12.5000
376,4.1752,7.1283,7.4338,33.8086,2.7495,30.9572,11.8126
377,3.2674,4.8151,6.7928,31.1264,3.0095,33.2760,14.2734
378,3.6559,5.0538,8.4946,36.3441,2.5806,28.2796,12.4731
379,3.8462,3.7643,6.9558,27.7414,1.3912,39.3617,11.7021
380,5.2202,4.3230,7.0962,29.8532,2.6917,34.3393,13.5400
381,3.3011,4.4283,9.6618,33.9775,2.0934,30.9984,12.1578
382,4.7733,3.9379,7.2792,29.3556,2.0286,33.6516,12.5298
383,5.7851,4.8554,8.2645,33.8843,1.6529,28.9256,13.0165
384,2.7928,4.8649,7.2072,29.8198,1.9820,37.3874,12.6126
385,4.5940,4.4872,7.2650,35.6838,3.8462,26.2821,13.7821
386,2.9032,4.8387,9.1398,33.4409,2.2581,31.6129,12.6882
387,3.6164,4.2453,8.0189,35.7704,2.6730,32.6258,9.8270
388,4.0154,4.0154,8.1853,33.3591,2.3938,30.5019,15.0579
389,4.2514,5.3604,6.4695,30.4991,1.6636,36.9686,12.0148
390,1.9920,3.5857,9.9602,25.7636,1.5936,40.9031,10.3586
391,3.7985,4.0462,7.3493,30.1404,2.2296,34.9298,12.2213
392,5.0769,2.0000,6.1538,28.9231,2.7692,39.0769,11.8462
393,3.9106,4.1341,8.8268,30.1676,1.2291,37.8771,11.0615
394,4.2670,5.2516,7.3304,31.0722,1.7505,36.1050,10.7221
395,4.9419,3.0523,7.1221,28.6337,1.4535,36.3372,13.9535
396,4.4465,4.6358,6.4333,33.0180,1.8921,32.0719,11.6367
397,3.9916,5.1471,7.1429,33.7185,1.7857,30.3571,12.3950
398,3.2813,4.3750,5.1563,30.3906,1.8750,36.0938,13.2031
399,5.5925,5.7257,6.6578,29.4274,2.3968,35.1531,10.9188
400,4.6243,4.9711,7.8613,33.0636,2.4277,33.5260,9.2486
401,4.1425,4.4739,6.3795,30.1574,2.4855,36.2883,9.8592
402,4.0248,3.8184,7.7399,36.7389,1.5480,29.8246,11.7647
403,5.2991,2.2222,3.7607,40.1709,0.6838,28.5470,10.0855
