投票所,親民,基進,時力,國民,綠黨,民進,台民
404,4.8423,2.9279,5.5180,35.2477,1.5766,35.3604,11.2613
405,3.5952,4.5273,8.1225,33.1558,2.5300,33.8216,10.6525
406,5.8240,4.9566,5.8240,35.5638,1.2392,30.4833,12.5155
407,4.0184,4.3628,5.9701,35.3617,1.8370,31.6877,13.3180
408,4.1558,4.9351,6.1039,35.9740,1.1688,32.7273,10.5195
409,4.9861,3.4626,7.6177,27.9778,2.4931,37.5346,10.8033
410,4.9881,5.5819,8.6698,36.4608,0.9501,27.0784,12.8266
411,4.9180,4.3326,5.7377,34.1920,1.8735,34.1920,10.5386
412,5.1253,3.7585,6.6059,39.0661,1.4806,27.9043,11.2756
413,3.4314,4.9020,7.4755,36.5196,2.0833,30.5147,11.7647
414,2.8185,5.4115,6.2007,35.7384,1.5784,32.1308,12.1759
415,4.2480,3.2147,8.3812,36.8542,2.7555,30.1952,10.1033
416,4.9180,4.6658,7.4401,33.4174,2.0177,29.3821,13.2409
417,3.1686,2.6616,5.1965,33.8403,2.1546,37.6426,10.3929
418,4.4944,4.0449,9.2135,36.5169,1.4607,28.4270,12.2472
419,4.1341,4.1341,9.4972,35.9777,2.6816,26.0335,14.0782
420,3.2159,3.9816,6.4319,32.9250,1.9908,33.3844,12.7106
421,4.5504,3.6836,6.6089,34.9946,1.6251,30.2275,12.4594
422,4.8469,3.8265,6.2500,33.2908,1.9133,35.4592,9.0561
423,4.9032,3.3548,6.8387,38.9677,3.3548,30.0645,8.6452
424,4.5599,5.3022,6.3627,39.6607,2.4390,28.1018,10.7105
425,3.2731,4.1761,7.7878,39.9549,1.6930,26.5237,11.9639
426,3.0303,4.3290,9.0909,35.0649,2.2727,30.6277,12.3377
427,5.9179,5.5556,6.0386,36.3527,2.0531,27.6570,13.6473
428,3.9785,5.2688,5.1613,36.5591,1.7204,29.7849,13.2258
429,2.7542,6.0381,6.1441,31.1441,1.3771,36.0169,11.8644
430,3.8573,5.8824,6.9431,29.7975,2.1215,37.1263,10.5111
431,3.2432,4.0541,6.0811,31.4865,2.4324,33.6486,13.6486
432,3.8880,5.4432,5.2877,32.3484,1.7107,37.9471,10.1089
433,4.7325,4.5267,7.5103,32.6132,2.4691,29.5267,13.4774
434,3.8130,3.3210,7.3801,29.7663,1.2300,38.3764,12.0541
435,4.1935,3.5484,8.7097,36.8817,1.5054,33.1183,9.0323
436,5.6545,3.7696,7.2251,30.0524,2.9319,36.7539,10.2618
437,5.2386,5.4715,5.4715,27.5902,1.3970,38.3003,12.2235
438,4.5455,5.6220,7.6555,22.8469,1.6746,42.2249,9.8086
439,5.4740,1.7356,5.6075,40.0534,1.0681,31.1081,10.5474
440,3.8798,3.8798,5.7572,40.0501,0.8761,26.4080,14.6433
441,3.9785,3.4409,7.7419,34.3011,1.1828,31.7204,12.1505
442,5.4024,3.3076,7.0562,29.2172,0.9923,39.4708,10.5843
443,3.7116,5.3022,5.6204,31.7073,1.2725,34.1463,12.6193
444,4.8227,5.1064,9.2199,24.8227,1.7021,38.4397,11.9149
445,3.9578,3.6939,6.4644,37.4670,2.3747,30.7388,11.8734
446,5.6962,2.9114,6.2025,43.2911,2.2785,27.7215,9.7468
447,4.8780,5.8824,6.5997,32.2812,1.7217,32.8551,10.9039
448,6.3593,4.9285,7.1542,39.1097,1.4308,27.8219,9.8569
449,4.8593,4.2199,5.1151,32.7366,1.4066,36.4450,9.2072
450,4.7181,4.1427,7.3648,26.0069,1.6110,41.0817,9.3211
451,5.7586,3.9867,6.5338,27.4640,1.8826,38.2060,11.0742
