投票所,親民,基進,時力,國民,綠黨,民進,台民
269,4.0689,4.5383,9.5462,29.5775,1.5649,32.5509,15.0235
270,5.8236,5.6572,9.1514,30.2829,1.6639,30.4493,14.8087
271,3.8589,3.1974,7.0562,36.1632,1.6538,27.0121,15.5458
272,4.0609,4.0609,6.9036,33.7056,1.2183,30.3553,14.0102
273,2.8689,4.4057,7.5820,38.8320,0.3074,30.4303,11.8852
274,3.5361,3.8190,5.9406,32.8147,1.2730,32.6733,14.0028
275,3.4848,4.0909,7.1212,40.3030,1.9697,28.0303,11.5152
276,3.4368,5.4324,6.7627,29.7118,1.7738,33.5920,15.1885
277,3.1729,5.9081,8.6433,30.0875,2.1882,34.2451,12.2538
278,3.4667,4.5333,9.2000,35.3333,1.4667,29.0667,12.8000
279,3.9326,3.6517,5.4775,39.7472,1.5449,28.9326,12.5000
280,5.3419,4.4872,6.4103,38.4615,1.4957,26.4957,12.7137
281,3.8880,5.9098,10.2644,32.3484,2.0218,31.5708,9.4868
282,4.6332,4.4402,7.6255,30.2124,1.1583,32.9151,16.2162
283,3.0052,4.4560,9.4301,33.6788,1.6580,31.8135,12.4352
284,3.4910,6.1937,6.6441,37.6126,1.9144,33.5586,6.3063
285,2.2187,6.0222,7.2900,12.8368,1.2678,51.3471,13.3122
286,3.1281,6.3539,7.3314,32.2581,2.1505,35.1906,11.3392
287,3.0120,3.9157,7.1285,25.6024,1.8072,38.6546,15.7631
288,3.2787,5.9719,7.1429,28.8056,1.7564,35.7143,14.1686
289,4.3429,4.9143,9.0286,26.4000,1.7143,36.9143,12.2286
290,3.7756,6.5804,8.4142,31.4995,1.9417,29.4498,15.4261
291,2.3464,5.0279,8.7151,25.1397,3.3520,38.9944,12.6257
292,5.3518,5.0545,8.1269,32.1110,1.3875,32.4083,12.5867
293,4.2323,5.8071,9.8425,29.2323,2.1654,29.7244,15.5512
294,4.3478,4.9407,9.1897,28.6561,1.2846,32.2134,15.5138
295,4.4330,5.0515,7.6289,30.8247,1.3402,35.5670,11.5464
296,4.9856,4.8897,7.4784,34.0364,1.3423,31.2560,11.3135
297,5.3061,4.4898,8.2653,27.0408,1.8367,33.3673,13.9796
298,3.2895,3.6654,7.1429,36.6541,1.8797,29.6992,14.0038
299,5.4348,5.5435,5.1087,30.8696,2.1739,31.5217,16.8478
300,4.9313,5.8205,9.2158,32.9022,2.0210,27.3242,14.9555
301,4.1226,4.3340,5.9197,35.3066,2.1142,30.3383,13.1078
302,3.9053,5.3254,6.5089,30.4142,1.4201,34.4379,14.2012
303,2.7835,4.8454,8.3505,30.5155,2.1649,32.5773,13.5052
304,5.0251,3.0151,7.1608,29.0201,1.5075,34.2965,15.7035
305,5.2030,4.6954,6.2183,35.5330,1.7766,28.2995,12.5635
306,5.0251,6.7839,9.0452,29.5226,1.5075,33.2915,11.8090
307,4.2871,5.7827,7.1785,30.5085,2.6919,31.7049,14.6560
308,3.1634,4.6573,7.4692,32.6011,1.8453,35.6766,9.3146
309,3.5443,3.7975,8.6076,30.1266,2.6582,33.6709,12.6582
310,3.9630,7.0013,9.1149,28.9300,1.4531,30.3831,14.3989
311,3.1215,4.9052,8.5842,39.5764,1.8952,25.8640,11.8172
312,3.9160,2.9608,7.4499,38.3954,2.5788,25.1194,16.1414
313,3.6816,4.7761,9.7512,34.7264,4.0796,24.9751,13.0348
314,3.4164,5.4478,8.4026,39.0582,3.2318,24.9307,11.2650
315,3.9063,4.2535,10.0694,30.9896,2.1701,30.3819,15.1042
316,4.4310,5.7402,11.0775,33.2326,3.1219,22.1551,15.7100
317,3.9117,4.9147,6.5196,37.4122,3.1093,24.2728,13.6409
318,4.1096,4.5010,9.0020,39.3346,2.8376,22.2114,15.4599
