投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
1055,0.1368,0.5472,2.0520,56.2244,38.3037,1.5048,1.2312
1056,0.6494,0.6494,1.0823,51.9481,44.1558,1.0823,0.4329
1057,1.1706,0.6689,1.0033,53.3445,41.6388,2.0067,0.1672
1058,0.5848,1.0234,0.7310,51.1696,45.0292,1.1696,0.2924
1059,0.9050,0.2262,1.8100,46.3801,49.0950,1.3575,0.2262
1060,0.6494,0.4329,1.9481,48.4848,46.7532,1.0823,0.6494
1061,0.2821,0.0000,1.1283,42.0310,54.4429,1.6925,0.4231
1062,0.7236,0.2894,3.0391,47.9016,46.8886,1.0130,0.1447
1063,0.6289,0.3145,1.5723,35.5346,61.6352,0.0000,0.3145
1064,1.1925,0.5111,1.3629,43.7819,51.6184,1.0221,0.5111
1065,0.8446,0.0000,1.8581,52.3649,42.7365,1.0135,1.1824
1066,1.1429,0.2857,2.0000,52.8571,42.7143,0.7143,0.2857
1067,0.3724,0.5587,1.4898,58.6592,37.8026,1.1173,0.0000
1068,0.5425,0.0000,0.5425,45.3888,51.7179,1.4467,0.3617
1069,0.2083,1.2500,0.8333,56.4583,39.7917,1.0417,0.4167
1070,1.0616,0.2123,3.3970,44.7983,49.6815,0.8493,0.0000
1071,0.5102,0.0000,2.5510,49.2347,46.1735,1.5306,0.0000
