投票所,親民,基進,時力,國民,綠黨,民進,台民
1055,2.7739,2.0804,5.1318,28.9875,1.2483,42.1637,7.6283
1056,4.3764,2.4070,3.9387,37.6368,0.8753,39.3873,6.5646
1057,3.1773,3.0100,5.8528,37.4582,0.3344,36.9565,7.6923
1058,3.2544,2.8107,5.7692,35.5030,1.7751,36.5385,9.1716
1059,2.2624,2.9412,4.7511,37.1041,1.8100,32.8054,10.6335
1060,2.3305,3.3898,5.9322,37.5000,1.0593,34.5339,9.7458
1061,2.4011,2.2599,5.0847,44.4915,1.2712,29.9435,10.0282
1062,1.8786,2.4566,8.3815,38.5838,2.1676,32.6590,9.2486
1063,1.5528,3.4161,8.0745,46.8944,2.1739,27.0186,7.4534
1064,3.0612,3.5714,6.2925,41.4966,1.5306,28.9116,8.8435
1065,3.0050,3.1720,3.6728,34.0568,2.0033,41.9032,6.8447
1066,3.4433,3.0129,6.5997,30.7030,1.2912,40.4591,10.3300
1067,1.5238,1.1429,5.9048,29.1429,1.1429,43.0476,12.3810
1068,3.3088,2.3897,6.9853,40.4412,0.9191,31.4338,8.0882
1069,2.7542,3.8136,4.6610,35.5932,0.4237,40.4661,5.5085
1070,4.7009,2.9915,4.7009,41.4530,1.0684,33.3333,8.3333
1071,1.7995,2.5707,4.8843,36.5039,1.7995,36.2468,11.0540
