投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
823,1.3106,0.7864,1.0485,39.4495,55.4391,1.4417,0.5242
824,1.6949,0.5297,2.3305,52.0127,41.4195,1.0593,0.9534
825,1.5740,0.6296,1.3641,54.0399,39.9790,1.8888,0.5247
826,1.8260,1.0741,2.0408,47.2610,45.4350,1.0741,1.2889
827,1.0929,0.4098,1.7760,52.4590,42.7596,0.8197,0.6831
828,0.7564,0.9077,0.4539,50.6808,45.6884,0.7564,0.7564
829,0.7561,0.9452,1.3233,60.6805,34.7826,0.9452,0.5671
830,1.2238,0.8741,1.9231,60.3147,34.0909,0.8741,0.6993
831,1.0490,0.3497,2.0979,62.5874,31.9930,1.5734,0.3497
832,1.3514,0.8600,2.0885,62.4079,32.4324,0.7371,0.1229
833,2.5845,0.5964,1.3917,42.1471,52.8827,0.1988,0.1988
834,3.7468,0.7752,2.1964,53.7468,37.9845,0.9044,0.6460
835,2.6230,0.0000,2.6230,56.3934,36.8852,1.1475,0.3279
836,2.4359,1.1538,1.5385,52.8205,39.3590,1.9231,0.7692
837,1.1673,0.7782,1.6861,54.3450,39.8184,1.1673,1.0376
838,1.3889,0.7716,1.2346,63.7346,31.9444,0.6173,0.3086
839,1.6176,0.8824,1.7647,58.8235,34.8529,1.6176,0.4412
840,3.9604,1.5559,1.5559,53.6068,37.6238,1.4144,0.2829
841,3.1657,0.5587,1.6760,51.3966,41.3408,0.9311,0.9311
842,2.1417,0.6590,2.6359,46.2932,46.6227,0.9885,0.6590
843,1.4682,0.4894,1.7945,55.3018,38.4992,1.6313,0.8157
844,1.8445,0.7905,1.3175,55.2042,38.0764,1.5810,1.1858
845,2.0482,0.6024,1.2048,54.8193,38.9157,1.8072,0.6024
846,2.3468,1.1734,1.5645,47.7184,45.5020,1.1734,0.5215
847,1.5898,0.6359,1.5898,52.7822,41.6534,1.2719,0.4769
848,0.6182,1.2365,1.7002,58.5781,36.1669,0.9274,0.7728
849,1.5152,0.4545,1.5152,50.6061,44.2424,1.5152,0.1515
850,1.1824,0.8446,2.5338,52.8716,39.3581,2.3649,0.8446
851,1.1412,0.9986,1.8545,55.6348,38.6591,1.2839,0.4280
852,1.4175,0.9021,1.5464,58.1186,35.6959,1.6753,0.6443
853,1.3301,0.9674,1.9347,54.0508,40.7497,0.7255,0.2418
854,1.1704,0.6502,2.8609,56.3069,37.3212,0.7802,0.9103
855,0.8466,0.9524,2.2222,58.2011,35.5556,1.5873,0.6349
856,1.5038,1.0025,2.3810,52.6316,41.4787,0.3759,0.6266
857,1.7264,0.5312,1.5936,53.6521,40.6375,1.4608,0.3984
858,1.0989,0.6279,3.1397,59.4976,34.5369,0.6279,0.4710
859,1.0204,1.5873,1.2472,60.2041,33.2200,2.0408,0.6803
860,1.0067,0.7830,1.7897,52.9083,41.9463,1.3423,0.2237
861,1.2535,0.4178,1.3928,51.9499,42.3398,1.6713,0.9749
862,0.8380,0.6983,1.6760,52.6536,42.8771,0.8380,0.4190
863,1.9540,0.8046,2.5287,52.0690,40.8046,1.3793,0.4598
864,0.6067,0.9100,2.1234,61.4762,33.1648,1.3145,0.4044
865,0.8075,0.5384,1.2113,61.5074,34.0511,1.4805,0.4038
866,2.5253,0.8418,3.0303,57.5758,34.0067,2.0202,0.0000
867,1.9060,0.6353,1.7789,49.8094,43.9644,1.3977,0.5083
868,2.0867,0.4815,2.8892,54.8957,37.2392,1.7657,0.6421
869,2.0440,1.4151,2.0440,45.9119,46.2264,1.5723,0.7862
870,1.6949,0.6780,2.0339,49.8305,43.8983,1.0169,0.8475
871,2.2459,1.3002,3.1915,41.8440,48.4634,2.3641,0.5910
872,2.8931,0.8805,4.0252,38.4906,50.4403,2.7673,0.5031
873,0.8306,0.4983,2.4917,49.8339,44.3522,1.3289,0.6645
874,1.6897,0.1536,2.7650,51.7665,42.0891,1.0753,0.4608
875,1.3158,0.6579,3.4539,52.1382,40.4605,1.4803,0.4934
876,0.7449,3.3520,1.3035,53.0726,40.0372,0.7449,0.7449
877,0.9804,0.6536,1.9608,51.9608,43.1373,0.8170,0.4902
878,1.0703,1.0703,2.7523,49.6942,42.9664,2.1407,0.3058
879,0.9272,0.1325,1.8543,52.4503,42.2517,1.8543,0.5298
880,1.1218,0.9615,3.6859,53.2051,39.5833,0.9615,0.4808
881,1.7699,1.3274,2.8761,50.4425,41.8142,1.5487,0.2212
882,0.6263,0.9395,2.2965,56.3674,37.7871,1.1482,0.8351
883,1.3361,1.5416,2.5694,50.8736,41.8294,1.5416,0.3083
884,1.7220,0.3690,2.3370,55.4736,37.8844,1.7220,0.4920
885,2.2339,0.6570,2.8909,46.1235,44.6781,2.3653,1.0512
886,0.9009,1.4414,1.9820,54.5946,39.0991,1.4414,0.5405
887,1.2605,1.2605,2.9412,51.8908,38.6555,2.9412,1.0504
888,1.5476,0.4762,1.7857,52.6190,41.7857,1.0714,0.7143
889,1.9164,1.5679,2.0906,51.7422,40.7666,1.9164,0.0000
890,1.1321,1.1321,1.7610,55.2201,38.1132,1.5094,1.1321
891,1.9022,0.5435,2.0380,53.5326,39.4022,1.6304,0.9511
892,1.3699,1.0654,4.5662,47.1842,43.2268,1.9787,0.6088
893,2.2796,1.2158,3.0395,52.8875,38.4498,1.8237,0.3040
894,2.2727,0.9943,2.5568,55.2557,37.6420,0.8523,0.4261
895,1.8571,0.8571,2.1429,46.2857,45.8571,2.2857,0.7143
896,1.1765,0.8824,1.0294,56.4706,37.2059,3.0882,0.1471
897,1.3966,1.3966,3.3520,52.9330,38.2682,2.2346,0.4190
898,1.3453,0.8969,1.3453,54.7085,38.8640,2.3916,0.4484
899,1.2363,0.8242,2.0604,50.6868,42.5824,1.3736,1.2363
900,2.3810,1.0823,2.5974,49.6753,42.8571,0.9740,0.4329
901,0.6337,0.5070,2.0279,52.7250,43.2193,0.3802,0.5070
902,0.9146,0.8130,2.7439,50.4065,41.9715,2.7439,0.4065
903,0.3417,1.3667,3.8724,57.8588,34.1686,1.8223,0.5695
904,1.9851,1.9851,2.2333,50.9926,41.0670,1.2407,0.4963
905,1.1224,0.5102,2.4490,54.8980,38.5714,1.4286,1.0204
