投票所,親民,基進,時力,國民,綠黨,民進,台民
823,3.1957,2.1305,5.9920,50.5992,0.7989,22.6365,11.0519
824,4.7821,2.7630,8.0765,36.7694,2.3379,32.8374,9.4580
825,4.1139,2.4262,9.3882,34.1772,1.6878,32.3840,13.7131
826,3.9362,2.5532,7.4468,40.6383,1.2766,26.4894,13.9362
827,5.2999,3.3473,5.5788,33.1939,2.3710,33.4728,12.4128
828,3.1770,2.7231,8.7746,37.8215,1.8154,31.6188,9.6823
829,3.6609,2.6975,7.5145,29.6724,0.9634,39.8844,8.2852
830,4.4092,2.9982,7.0547,31.2169,1.4109,38.6243,10.5820
831,3.5273,3.8801,5.2910,26.9841,1.9400,43.3862,8.2892
832,3.2541,2.2528,6.2578,29.1615,1.6270,43.1790,9.1364
833,3.0303,2.4242,4.8485,43.8384,1.4141,27.8788,11.9192
834,3.7565,2.0725,8.2902,34.9741,1.4249,33.9378,13.2124
835,3.5294,2.5210,7.7311,32.4370,2.1849,36.1345,11.0924
836,4.3646,3.0809,7.8306,34.0180,2.6958,31.8357,11.1682
837,2.7132,3.6176,8.5271,35.2713,1.6796,31.2661,12.9199
838,3.8462,4.0000,6.1538,28.3077,2.0000,42.3077,10.4615
839,2.9197,3.0657,8.6131,30.5109,1.8978,38.8321,10.2190
840,5.4698,3.9271,7.2931,32.9593,1.6830,31.9776,13.3240
841,2.4345,2.9963,5.6180,33.3333,1.8727,35.9551,13.2959
842,3.0560,3.0560,9.3379,39.2190,0.6791,28.8625,12.5637
843,2.9412,2.9412,7.5163,34.4771,1.7974,33.8235,12.5817
844,3.8208,2.7668,8.8274,35.5731,1.4493,32.8063,9.8814
845,3.6408,2.7913,8.6165,35.6796,2.3058,33.4951,10.5583
846,4.5161,2.0645,7.8710,41.0323,2.8387,27.0968,11.3548
847,4.0689,3.5994,6.1033,35.3678,1.8779,33.9593,10.6416
848,5.1437,1.9667,8.7746,33.5855,0.9077,37.8215,9.0772
849,2.2590,2.2590,8.1325,39.6084,1.8072,30.7229,12.1988
850,4.4068,3.5593,7.1186,33.8983,4.0678,30.8475,11.1864
851,4.2614,3.2670,7.6705,33.0966,2.2727,35.9375,11.2216
852,2.4453,2.8314,7.9794,32.5611,2.8314,35.6499,11.9691
853,4.4686,2.5362,8.2126,36.1111,1.5700,33.4541,9.6618
854,4.8969,2.8351,7.8608,30.7990,2.5773,34.4072,13.4021
855,3.7500,3.9583,9.0625,31.0417,2.0833,31.7708,14.7917
856,3.8605,2.7397,8.8418,35.3674,1.7435,30.6351,12.3288
857,2.9216,3.9841,6.6401,40.6375,1.0624,31.6069,9.9602
858,4.1731,4.3277,10.6646,28.5935,1.2365,35.8578,12.3648
859,4.2601,3.9238,8.9686,29.2601,2.1300,32.8475,14.3498
860,4.3908,4.5005,5.7080,37.9802,1.3172,30.4061,11.8551
861,4.3417,3.2213,7.5630,36.5546,0.9804,32.0728,10.6443
862,5.6630,1.9337,7.4586,37.9834,1.9337,32.7348,8.8398
863,3.7500,4.2045,8.5227,35.1136,2.0455,29.6591,13.7500
864,3.7717,1.7329,8.1549,30.7849,1.9368,39.9592,10.4995
865,3.8043,3.3967,8.1522,32.6087,1.3587,35.1902,11.8207
866,3.8917,3.0457,9.4755,30.6261,1.1844,36.3790,11.3367
867,4.6717,3.0303,8.4596,38.1313,1.2626,28.5354,10.8586
868,3.9308,3.4591,9.2767,31.6038,2.6730,33.0189,11.3208
869,5.2308,3.3846,9.0769,39.5385,2.3077,24.1538,13.8462
870,2.8620,2.8620,6.5657,35.8586,2.5253,31.8182,11.1111
871,3.2333,3.5797,10.0462,38.6836,2.1940,26.4434,11.8938
872,4.7736,3.5496,7.9559,38.6781,2.4480,27.4174,12.2399
873,4.9834,3.6545,6.3123,35.5482,0.9967,33.8870,9.1362
874,3.2984,3.4483,9.8951,36.7316,2.8486,29.9850,11.5442
875,3.2680,2.9412,6.5359,36.1111,3.1046,32.5163,10.4575
876,2.0677,3.1955,7.5188,37.0301,2.0677,33.6466,11.4662
877,5.0243,3.0794,8.5900,35.9806,1.1345,33.2253,10.2107
878,2.9940,3.1437,9.2814,37.5749,2.8443,28.4431,12.2754
879,2.2457,5.5482,8.7186,36.7239,0.7926,30.5152,11.7569
880,4.4515,5.2464,7.9491,34.8172,2.0668,30.5246,9.3800
