投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
794,2.3962,0.3195,3.0351,49.6805,42.6518,1.7572,0.1597
795,1.1796,0.5242,2.6212,57.9292,34.3381,3.0144,0.3932
796,2.0045,0.8909,2.2272,55.9020,36.5256,1.2249,1.2249
797,1.8933,0.0000,2.4096,52.8399,41.4802,1.2048,0.1721
798,0.3711,1.4842,2.0408,58.2560,36.1781,0.9276,0.7421
799,1.2821,0.8974,2.1795,51.4103,41.6667,1.5385,1.0256
800,0.6186,0.6186,2.4742,55.2577,39.1753,1.0309,0.8247
801,1.6313,0.9788,1.6313,55.7912,37.5204,1.4682,0.9788
802,1.7941,1.0387,2.3607,53.8244,38.9046,1.4164,0.6610
803,1.1647,0.6656,1.8303,47.9201,47.2546,1.1647,0.0000
804,2.0214,0.4756,2.3781,48.6326,43.5196,2.0214,0.9512
805,1.5009,0.4690,1.1257,53.4709,41.3696,1.1257,0.9381
806,2.5735,0.9191,1.8382,52.5735,40.4412,0.9191,0.7353
807,2.3009,1.0619,1.7699,61.0619,32.5664,1.0619,0.1770
808,1.5990,0.8610,1.7220,59.5326,34.3173,1.4760,0.4920
809,1.0056,1.0056,1.8994,57.4302,36.7598,1.4525,0.4469
810,0.9009,0.4505,1.1261,57.2072,37.5000,2.1396,0.6757
811,0.8451,1.0329,1.3146,45.7277,48.2629,1.9718,0.8451
812,2.1053,1.1483,2.9665,50.1435,38.9474,3.3493,1.3397
813,1.1928,1.0934,1.0934,51.4911,41.5507,2.9821,0.5964
814,1.1173,0.5587,1.6760,56.0056,38.1285,2.0950,0.4190
815,1.0929,1.0929,2.1858,57.2404,35.9290,1.9126,0.5464
816,0.8734,0.5822,2.1834,56.9141,36.8268,1.7467,0.8734
817,1.5068,0.6849,1.3699,55.8904,38.2192,1.0959,1.2329
818,1.6627,0.5938,2.1378,53.9192,39.7862,1.0689,0.8314
819,2.0319,0.4354,1.8868,60.0871,33.3817,1.4514,0.7257
820,2.1622,0.9459,2.9730,51.2162,40.1351,1.7568,0.8108
821,1.3064,0.8314,2.1378,57.9572,35.2732,1.6627,0.8314
822,2.2145,0.8159,2.2145,54.7786,38.2284,0.9324,0.8159
