投票所,親民,基進,時力,國民,綠黨,民進,台民
794,3.6741,2.2364,7.0288,38.0192,1.4377,29.8722,13.2588
795,3.5111,2.9909,8.1925,30.4291,2.6008,36.0208,11.9636
796,4.0659,2.1978,9.4505,34.9451,1.7582,29.4505,13.4066
797,3.1524,2.1016,8.2312,36.4273,1.5762,32.9247,12.2592
798,3.2258,3.7951,8.7287,31.4991,1.3283,35.8634,12.7135
799,4.0816,2.5510,4.8469,36.3520,1.7857,33.8010,13.5204
800,2.9106,1.6632,6.2370,33.2640,1.0395,38.2536,13.0977
801,3.0995,2.6101,5.2202,32.4633,0.4894,39.1517,12.0718
802,2.3518,4.8918,7.9022,31.5146,2.2578,37.5353,10.1599
803,3.2368,1.7036,7.1550,41.2266,0.8518,29.9830,11.0733
804,2.8743,3.8323,9.4611,37.8443,1.4371,28.5030,12.3353
805,5.1331,3.5171,6.8441,33.0798,0.9506,35.3612,11.4068
806,3.4549,2.1113,6.7179,35.8925,1.9194,33.5893,13.0518
807,2.1898,2.7372,6.3869,26.8248,1.2774,42.5182,13.6861
808,4.6192,2.9963,7.2409,27.9650,1.3733,39.3258,12.2347
809,3.5068,3.2805,7.5792,33.1448,2.2624,36.6516,10.0679
810,4.0632,2.9345,6.6591,29.7968,1.6930,40.4063,11.0609
811,3.0160,2.9218,7.7286,40.8106,1.2253,27.5212,12.9123
812,4.1276,3.2833,10.2251,34.2402,1.8762,28.5178,15.7598
813,1.8738,2.5641,8.0868,35.1085,2.1696,34.1223,12.4260
814,2.6836,2.6836,7.6271,33.6158,1.1299,37.1469,12.8531
815,2.3416,1.1019,7.3003,33.4711,2.6171,34.4353,14.8760
816,3.9823,1.4749,5.1622,35.1032,1.7699,36.8732,12.9794
817,6.7227,5.6022,8.9636,27.3109,1.2605,29.9720,12.8852
818,3.1953,2.4852,8.1657,35.7396,1.5385,34.6746,11.2426
819,3.3724,3.2258,8.5044,26.8328,1.0264,37.3900,11.8768
820,2.8767,3.1507,8.4932,34.6575,1.5068,30.8219,14.1096
821,3.7603,2.4677,9.8707,29.7297,2.3502,34.3126,12.1034
822,3.1653,3.0481,8.7925,33.5287,1.6413,33.7632,12.5440
