投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
922,2.1557,1.0778,2.1557,53.5329,38.6826,1.6766,0.7186
923,0.6211,0.6211,2.0186,64.7516,30.5901,0.7764,0.6211
924,0.8837,0.8837,2.0619,59.3520,35.6406,0.8837,0.2946
925,1.0267,0.6160,1.8480,62.4230,32.6489,0.8214,0.6160
926,0.3058,1.3761,2.1407,60.0917,34.0979,1.3761,0.6116
927,0.1988,0.7952,1.9881,68.7873,26.6402,1.1928,0.3976
928,1.3258,0.5682,1.8939,62.8788,32.1970,0.7576,0.3788
929,0.5736,0.5736,0.7648,61.9503,33.2696,1.5296,1.3384
930,2.1523,0.3311,0.9934,50.1656,45.1987,0.1656,0.9934
931,0.8325,1.0406,2.4974,61.3944,31.7378,1.4568,1.0406
932,1.0169,0.6780,0.6780,53.2203,43.5593,0.8475,0.0000
933,1.7893,0.3976,2.5845,59.6421,33.5984,0.7952,1.1928
934,1.0345,0.8621,1.3793,59.6552,35.0000,1.7241,0.3448
935,1.2048,0.5355,1.4726,57.5636,37.7510,0.8032,0.6693
936,0.9836,1.3115,3.1148,54.7541,38.5246,0.8197,0.4918
937,1.2500,0.6250,2.2500,61.3750,31.5000,2.5000,0.5000
938,2.3377,1.1688,1.6883,58.4416,34.6753,1.0390,0.6494
939,0.9274,0.6182,2.0093,59.3509,35.3941,1.0819,0.6182
940,2.4221,0.6920,2.2491,57.2664,36.3322,0.3460,0.6920
941,0.8503,1.3605,1.8707,50.6803,43.8776,0.5102,0.8503
942,1.0730,1.2876,2.1459,58.1545,35.1931,0.8584,1.2876
943,0.9804,0.5602,3.9216,66.1064,27.1709,0.8403,0.4202
944,1.7403,1.0710,1.3387,51.1379,42.9719,1.4726,0.2677
945,0.8850,1.0816,1.4749,53.8840,40.9046,1.2783,0.4916
946,1.0000,0.7778,1.6667,56.7778,38.2222,1.4444,0.1111
947,0.6494,0.4870,2.2727,59.4156,35.5519,0.9740,0.6494
948,1.0733,0.1789,0.8945,56.5295,40.2504,0.8945,0.1789
949,1.2500,0.5357,1.9643,61.6071,33.7500,0.5357,0.3571
950,1.4553,0.0000,1.2474,52.3909,43.6590,0.8316,0.4158
951,1.3356,0.3339,2.0033,58.4307,36.0601,1.6694,0.1669
952,1.1864,0.3390,2.2034,57.4576,37.7966,0.8475,0.1695
953,1.0267,0.6160,1.2320,55.0308,40.0411,0.8214,1.2320
954,0.6729,1.0767,2.0188,46.8371,48.4522,0.6729,0.2692
955,0.7584,0.5417,1.6251,66.7389,29.5775,0.5417,0.2167
