投票所,親民,基進,時力,國民,綠黨,民進,台民
922,3.2887,3.2887,6.5773,34.5920,1.7052,33.0085,11.3276
923,2.7864,4.1796,8.8235,31.5789,2.0124,35.2941,11.9195
924,3.5088,2.9240,6.4327,32.8947,1.3158,36.5497,13.0117
925,4.9383,1.4403,6.1728,30.2469,0.8230,40.7407,10.0823
926,2.4316,6.5350,7.4468,27.2036,1.3678,36.0182,15.5015
927,3.8384,4.6465,7.6768,24.4444,1.4141,40.8081,10.5051
928,2.2556,4.6992,8.2707,27.4436,1.6917,40.9774,10.9023
929,2.2901,4.1985,7.6336,29.9618,0.5725,37.5954,11.4504
930,2.4752,2.8053,7.7558,40.2640,0.8251,29.5380,12.0462
931,4.5977,3.5528,7.6280,29.8851,1.6719,36.6771,11.9122
932,3.7607,3.5897,8.2051,35.7265,1.7094,31.7949,9.7436
933,4.2802,3.6965,9.3385,31.1284,2.5292,37.5486,9.7276
934,3.9724,2.7634,8.8083,34.3696,1.0363,34.3696,12.6079
935,4.1005,2.5132,9.9206,35.1852,2.1164,32.2751,10.0529
936,4.4925,3.9933,7.6539,33.9434,2.6622,32.6123,10.6489
937,3.5220,3.7736,7.9245,32.4528,1.6352,34.7170,12.5786
938,3.9318,2.4902,6.4220,32.2412,1.8349,32.6343,16.9069
939,4.1475,3.5330,6.9124,31.6436,1.2289,31.0292,14.5929
940,3.7997,3.7997,8.2902,32.6425,0.8636,37.8238,10.3627
941,3.3898,3.2203,7.9661,36.4407,2.0339,28.9831,14.7458
942,2.8825,2.8825,10.6430,31.0421,1.3304,35.0333,10.4213
943,3.6723,2.4011,8.4746,24.0113,1.9774,41.3842,12.4294
944,2.9690,3.3738,7.0175,38.0567,1.0796,29.9595,11.8758
945,3.2544,3.2544,6.7061,36.6864,1.5779,32.4458,12.5247
946,2.6549,2.3230,7.4115,34.2920,2.3230,32.8540,13.2743
947,4.8780,3.5772,6.5041,30.4065,1.6260,38.2114,12.0325
948,2.8881,3.0686,7.9422,36.2816,1.8051,28.8809,14.6209
949,4.0073,2.7322,6.1931,31.1475,2.0036,37.5228,12.0219
950,2.4641,3.0801,8.0082,37.3717,1.0267,35.7290,7.3922
951,5.4054,2.1959,6.9257,35.1351,1.0135,33.4459,11.3176
952,2.5997,1.7331,3.8128,33.6222,0.3466,40.9012,12.1317
953,4.2194,2.9536,5.4852,36.7089,1.4768,34.1772,12.6582
954,3.4200,3.0096,4.1040,39.2613,0.8208,32.2845,11.9015
955,3.0568,2.8384,7.2052,24.3450,1.3100,46.0699,10.0437
