投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
1019,0.3478,1.5652,2.4348,55.6522,38.0870,1.2174,0.6957
1020,2.6510,0.7364,0.8837,42.8571,50.3682,2.3564,0.1473
1021,0.1908,0.3817,2.0992,50.1908,45.6107,1.3359,0.1908
1022,1.1429,0.0000,1.1429,50.4762,44.9524,1.9048,0.3810
1023,1.6064,0.6024,2.2088,47.5904,44.1767,3.0120,0.8032
1024,0.9766,1.3672,1.7578,45.1172,47.8516,2.3438,0.5859
1025,1.6000,0.6000,1.8000,54.2000,38.0000,3.0000,0.8000
1026,1.3129,0.4376,1.4223,50.6565,44.0919,1.5317,0.5470
1027,1.2766,0.0000,1.5603,51.2057,43.2624,1.9858,0.7092
1028,1.6000,0.5000,1.6000,50.0000,43.3000,1.9000,1.1000
1029,1.8182,1.3223,1.9835,54.0496,37.5207,2.6446,0.6612
1030,0.7752,0.3101,2.3256,50.3876,42.9457,2.7907,0.4651
1031,0.9302,1.1628,2.7907,57.6744,35.5814,1.3953,0.4651
1032,1.4212,0.6460,2.0672,47.9328,45.3488,1.6796,0.9044
1033,1.5700,0.3623,1.5700,51.6908,42.0290,2.5362,0.2415
1034,1.1097,0.3699,3.4525,47.3490,45.3761,2.0962,0.2466
1035,0.7743,0.8850,1.7699,53.9823,39.0487,2.7655,0.7743
1036,1.3580,0.4938,0.8642,54.1975,40.2469,2.4691,0.3704
1037,0.7916,0.3958,2.3747,54.3536,39.7098,1.8470,0.5277
1038,0.6098,1.2195,2.0732,53.1707,39.5122,3.0488,0.3659
1039,0.9401,0.8226,2.2327,51.3514,41.4806,2.2327,0.9401
1040,0.9174,0.3670,1.6514,46.6055,47.1560,2.7523,0.5505
1041,1.3514,0.5631,2.3649,59.3468,34.2342,1.4640,0.6757
1042,0.8224,0.1645,0.9868,53.9474,42.7632,0.9868,0.3289
1043,0.8000,1.0000,0.6000,51.4000,41.0000,4.8000,0.4000
1044,1.1287,0.4515,1.3544,56.5463,38.7133,1.6930,0.1129
1045,1.5571,1.0381,1.2111,55.3633,38.0623,1.9031,0.8651
1046,1.3245,0.6623,1.8212,57.2848,36.9205,1.4901,0.4967
1047,1.7264,1.0624,1.5936,50.1992,42.6295,2.2576,0.5312
1048,0.7112,0.4267,3.4139,58.0370,35.1351,1.9915,0.2845
1049,1.0444,0.6527,2.6110,55.8747,36.4230,2.8721,0.5222
1050,1.0256,1.4103,3.2051,51.5385,40.3846,1.6667,0.7692
1051,1.1561,0.1927,0.7707,47.5915,48.1696,1.1561,0.9634
1052,1.8083,0.7233,2.7125,43.7613,49.3671,1.2658,0.3617
1053,0.7541,0.0000,0.4525,57.9186,38.4615,1.5083,0.9050
1054,0.9494,0.4747,2.3734,57.2785,36.0759,1.7405,1.1076
