投票所,親民,基進,時力,國民,綠黨,民進,台民
1019,2.8674,2.8674,5.3763,34.2294,1.9713,39.6057,9.1398
1020,3.3873,2.2091,5.3019,43.7408,1.1782,27.6878,10.6038
1021,2.6515,3.2197,4.9242,40.5303,0.3788,33.5227,11.5530
1022,3.0710,2.1113,5.3743,39.1555,1.3436,31.2860,11.1324
1023,4.5817,2.9880,8.5657,41.0359,1.1952,25.6972,11.3546
1024,2.9586,4.1420,6.3116,41.2229,0.5917,29.3886,12.4260
1025,2.6477,2.2403,7.7393,37.0672,1.6293,31.3646,13.0346
1026,3.4254,1.8785,5.0829,33.8122,1.5470,37.5691,10.6077
1027,2.2890,2.0029,4.4349,36.6237,1.8598,34.9070,13.8770
1028,2.9000,3.0000,7.6000,37.4000,2.7000,33.2000,9.5000
1029,2.6667,2.1667,7.1667,33.1667,1.1667,35.8333,13.1667
1030,2.6194,2.4653,8.1664,36.5177,2.0031,32.2034,10.9399
1031,2.5943,1.1792,5.4245,30.6604,1.4151,42.2170,10.3774
1032,4.6632,2.3316,6.2176,39.1192,1.5544,32.2539,10.7513
1033,3.0193,1.8116,6.8841,38.2850,1.5700,34.4203,11.1111
1034,2.8049,2.4390,10.0000,41.4634,2.3171,24.8780,13.0488
1035,2.6087,4.5652,9.3478,34.7826,2.6087,30.7609,10.0000
1036,2.9777,2.3573,7.1960,33.8710,1.2407,36.8486,12.6551
1037,3.3635,3.7516,9.8318,33.2471,1.0349,34.7995,10.8668
1038,2.6634,4.4794,5.8111,33.7772,1.4528,35.2300,12.5908
1039,3.9053,2.7219,5.6805,37.7515,2.3669,32.7811,10.5325
1040,4.1818,3.6364,7.8182,39.8182,1.6364,25.2727,13.6364
1041,2.7871,2.6756,8.8071,29.7659,1.8952,39.0190,11.2598
1042,0.8278,2.8146,6.1258,32.6159,1.1589,40.8940,10.5960
1043,3.4068,3.4068,5.4108,32.2645,1.4028,35.2705,8.4168
1044,3.0371,2.8121,6.5242,34.3082,1.4623,36.4454,8.5489
1045,6.5719,4.6181,6.7496,31.6163,1.0657,36.0568,8.3481
1046,3.9088,3.0945,9.2834,31.4332,0.3257,36.6450,10.2606
1047,5.1793,2.2576,7.5697,35.7238,1.5936,30.4117,13.8114
1048,3.2670,4.1193,8.9489,30.5398,0.7102,35.0852,12.5000
1049,3.2258,4.2581,8.6452,34.7097,1.6774,33.2903,11.3548
1050,3.0496,3.5578,7.7510,35.7052,1.9060,31.8933,13.4689
1051,2.3166,2.8958,6.1776,38.6100,1.1583,34.5560,9.8456
1052,1.8083,3.7975,7.5949,41.0488,0.9042,28.9331,11.2116
1053,3.0628,1.5314,6.7381,33.3844,0.9188,38.7443,10.7198
1054,3.7975,1.7405,5.0633,31.0127,0.9494,39.0823,12.8165
