投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
994,1.4406,0.7203,1.4406,47.7791,46.9388,0.9604,0.7203
995,0.8653,0.6180,2.3486,56.6131,37.5773,1.6069,0.3708
996,0.6693,0.5355,1.7403,57.5636,37.0817,1.8742,0.5355
997,0.8016,1.4028,1.0020,48.6974,45.8918,1.2024,1.0020
998,1.0989,1.7268,1.4129,48.0377,45.0549,1.8838,0.7849
999,0.6160,0.2053,2.6694,57.7002,37.3717,0.2053,1.2320
1000,1.2289,0.6144,3.8402,53.7634,38.5561,1.0753,0.9217
1001,0.9524,0.4233,1.4815,57.0370,38.4127,1.1640,0.5291
1002,0.7028,1.1044,1.7068,51.1044,42.9719,2.0080,0.4016
1003,1.9950,1.2469,2.4938,50.8728,41.5212,1.3716,0.4988
1004,0.5338,0.7117,1.4235,46.6192,48.7544,1.4235,0.5338
1005,0.8949,2.6846,1.7897,44.5190,47.8747,2.0134,0.2237
1006,1.2012,0.9009,1.2012,61.2613,34.3844,0.6006,0.4505
1007,0.0000,0.5263,0.5263,50.0000,47.8947,0.5263,0.5263
1008,0.4662,0.9324,2.0979,56.6434,36.8298,2.7972,0.2331
1009,1.3755,0.9629,2.0633,51.5818,41.6781,1.7882,0.5502
1010,0.8104,0.6483,1.6207,53.4846,42.4635,0.6483,0.3241
1011,2.0677,1.5038,1.8797,45.4887,47.5564,1.3158,0.1880
1012,1.4888,1.2407,1.4888,60.0496,34.7395,0.2481,0.7444
1013,1.1688,1.0390,2.2078,55.7143,37.2727,1.9481,0.6494
1014,1.7149,0.6431,1.8221,55.6270,38.2637,1.6077,0.3215
1015,0.5938,1.1876,1.7815,58.7886,35.6295,1.6627,0.3563
1016,0.9217,0.4608,2.5346,58.9862,35.4839,0.4608,1.1521
1017,0.5929,0.5929,3.3597,50.1976,43.0830,1.7787,0.3953
1018,0.7605,0.7605,2.0279,57.6679,37.0089,1.3942,0.3802
