投票所,親民,基進,時力,國民,綠黨,民進,台民
994,2.4184,3.3857,4.3531,37.8476,1.2092,35.1874,11.1245
995,3.7594,2.0050,6.5163,33.0827,1.6291,36.5915,11.5288
996,2.1505,4.3011,9.0054,30.3763,1.2097,39.3817,10.4839
997,3.0488,4.0650,7.1138,41.6667,0.8130,28.2520,12.1951
998,3.1746,4.2857,9.6825,36.6667,1.7460,28.0952,11.4286
999,2.2869,2.7027,7.2765,32.4324,2.2869,37.2141,12.6819
1000,3.5604,3.0960,8.0495,31.7337,2.1672,36.8421,11.1455
1001,2.3355,3.8217,8.3864,31.9533,1.6985,37.3673,8.4926
1002,3.6670,2.3786,8.1269,36.1744,0.9911,28.0476,15.6591
1003,3.8605,1.2453,6.8493,33.7484,1.1208,35.1183,13.6986
1004,3.7300,3.3748,6.2167,38.8988,0.8881,31.2611,12.0782
1005,2.7149,3.8462,5.2036,41.4027,1.1312,30.3167,10.4072
1006,3.9334,2.7231,7.1104,31.4675,1.6641,38.1241,11.6490
1007,6.7358,2.0725,6.7358,40.4145,2.5907,27.4611,10.8808
1008,4.4496,3.0445,4.9180,29.7424,2.3419,39.5785,9.1335
1009,2.6316,2.2161,7.8947,39.4737,1.8006,30.0554,10.6648
1010,3.1046,2.9412,7.5163,36.2745,2.6144,30.3922,11.7647
1011,0.9804,2.5490,6.8627,37.8431,1.5686,36.0784,10.7843
1012,4.0201,6.7839,7.5377,25.3769,1.7588,38.9447,11.8090
1013,3.1332,2.6110,6.5274,35.1175,0.6527,35.6397,11.2272
1014,3.1183,1.5054,8.6022,31.6129,0.7527,39.5699,11.5054
1015,3.2413,1.9208,6.1224,32.4130,2.4010,35.6543,11.8848
1016,0.9281,4.6404,6.7285,30.6265,0.6961,40.3712,8.3527
1017,3.9526,3.9526,7.3123,34.1897,1.1858,33.3992,9.4862
1018,2.8314,3.6036,7.3359,33.2046,2.0592,35.5212,10.4247
