投票所,林怡彣,洪祐輔,蕭翠瑩,陳素月,蕭景田,陳志傑,何倍爾
956,1.0508,1.2259,2.6270,61.8214,32.7496,0.1751,0.3503
957,0.7194,1.0072,3.0216,51.3669,42.0144,1.4388,0.4317
958,0.9722,0.5556,2.0833,56.2500,38.0556,1.5278,0.5556
959,0.7353,0.8824,1.6176,59.2647,36.4706,0.8824,0.1471
960,1.1734,0.7823,1.5645,56.5841,38.2008,1.0430,0.6519
961,0.8989,1.0112,1.3483,55.6180,38.9888,1.9101,0.2247
962,0.9662,0.4831,2.0531,55.5556,38.1643,1.6908,1.0870
963,1.1385,0.7590,1.8975,49.7154,44.7818,1.3283,0.3795
964,0.1949,0.3899,0.9747,45.4191,52.0468,0.5848,0.3899
965,0.8186,0.8186,3.0014,52.5239,41.7462,0.9550,0.1364
966,0.4601,0.1534,0.4601,59.2025,38.3436,1.0736,0.3067
967,1.3566,0.3876,2.3256,50.5814,44.1860,1.1628,0.0000
968,0.7364,0.5891,1.6200,47.8645,47.7172,1.0309,0.4418
969,0.6684,0.5348,1.6043,57.3529,36.7647,2.2727,0.8021
970,1.3193,0.5277,1.1873,53.1662,41.6887,1.4512,0.6596
971,1.3384,0.3824,2.6769,50.4780,43.7859,0.7648,0.5736
972,0.8180,1.2270,2.6585,54.6012,39.0593,0.4090,1.2270
973,1.2088,0.6593,3.5165,52.9670,39.2308,1.6484,0.7692
974,0.7394,0.9242,1.4787,57.6710,37.3383,0.9242,0.9242
975,0.9646,1.2862,1.4469,58.8424,35.6913,1.2862,0.4823
976,0.5714,0.9524,1.5238,49.7143,45.1429,1.5238,0.5714
977,0.7886,0.4732,1.7350,52.9968,41.3249,1.8927,0.7886
978,0.3614,0.3614,1.4458,52.0482,43.6145,1.8072,0.3614
979,1.1096,0.2774,1.3870,48.4050,47.0180,1.8031,0.0000
980,0.8889,0.2222,2.3333,47.1111,47.2222,1.7778,0.4444
981,0.6339,0.3170,0.4754,45.6418,49.9208,2.0602,0.9509
982,0.4657,0.6985,1.9790,41.2107,53.4342,1.3970,0.8149
983,0.8018,0.3436,0.9164,54.5246,42.4971,0.6873,0.2291
984,1.1747,0.5874,1.3216,48.6050,46.4023,1.4684,0.4405
985,0.9804,0.7843,2.5490,39.2157,52.7451,2.1569,1.5686
986,0.5602,1.1204,1.4006,42.0168,52.5210,1.8207,0.5602
987,1.2376,0.6188,2.3515,50.0000,43.5644,1.8564,0.3713
988,2.2039,1.1019,1.5152,57.4380,34.9862,2.0661,0.6887
989,1.2535,0.4178,1.6713,42.6184,52.6462,1.1142,0.2786
990,1.0664,0.3555,1.0664,38.0332,58.0569,0.9479,0.4739
991,0.3361,0.6723,1.0084,50.9244,45.2101,1.1765,0.6723
992,2.0221,1.2868,1.8382,50.5515,41.7279,2.3897,0.1838
993,2.4291,0.6073,1.6194,55.8704,37.8543,1.6194,0.0000
