投票所,親民,基進,時力,國民,綠黨,民進,台民
956,2.1164,4.4092,8.4656,25.3968,1.2346,42.5044,12.1693
957,2.4460,3.5971,6.7626,33.8129,2.7338,35.8273,11.2230
958,3.0303,2.3416,7.3003,30.1653,0.9642,40.0826,12.2590
959,2.9028,3.4833,6.8215,31.4949,1.1611,38.0261,12.3367
960,3.2468,2.9870,6.2338,31.0390,0.9091,37.6623,13.6364
961,2.7933,3.2402,6.9274,30.8380,2.5698,37.7654,12.5140
962,2.2700,2.6284,10.2748,30.5854,1.3142,36.3202,13.8590
963,2.6718,3.6260,6.2977,38.1679,1.9084,35.4962,8.5878
964,3.7849,2.9880,4.7809,37.6494,1.1952,35.2590,9.7610
965,2.5710,4.3302,9.0663,31.1231,1.4885,37.4831,9.8782
966,1.9878,4.4343,7.1865,25.8410,1.6820,45.7187,11.3150
967,2.8958,4.4402,7.5290,33.5907,1.9305,34.1699,12.3552
968,2.2388,1.7910,5.3731,35.3731,1.3433,39.1045,11.0448
969,3.3875,1.2195,9.2141,28.0488,2.5745,39.7019,13.1436
970,4.5153,1.8592,7.7025,31.7397,1.0624,34.5286,13.4130
971,4.9430,3.6122,8.1749,33.2700,1.3308,31.7490,11.9772
972,3.6585,4.2683,5.4878,29.0650,1.4228,36.7886,12.8049
973,3.2787,1.8579,6.7760,30.9290,1.7486,38.2514,12.4590
974,4.9057,2.2642,8.4906,28.4906,1.5094,39.8113,10.9434
975,4.1667,2.2436,7.8526,27.8846,1.2821,39.1026,13.1410
976,3.5714,2.0677,7.8947,35.9023,2.2556,34.3985,11.8421
977,3.5494,2.7778,5.5556,35.1852,1.8519,33.1790,12.1914
978,3.6408,2.9126,8.9806,32.8883,1.4563,30.7039,15.5340
979,3.1030,1.2694,5.5007,33.9915,1.1283,35.1199,14.8096
980,3.2895,2.1930,7.4561,36.8421,1.9737,30.8114,12.8289
981,2.8257,2.3548,5.4945,39.5604,0.9419,31.5542,13.6578
982,3.4320,2.1302,5.3254,41.4201,1.6568,28.2840,12.5444
983,3.6824,2.8769,7.5949,29.9194,1.3809,39.7008,10.9321
984,3.2836,3.1343,5.3731,28.9552,1.9403,37.9104,14.6269
985,5.0403,2.8226,9.2742,37.9032,1.0081,27.2177,11.4919
986,3.6364,3.6364,7.2727,36.0839,0.6993,32.4476,11.8881
987,2.8501,3.7175,6.6914,36.1834,0.9913,35.6877,10.7807
988,4.4199,2.2099,6.0773,28.0387,0.9669,39.6409,13.5359
989,5.2782,2.1398,6.9900,37.0899,1.1412,30.6705,11.8402
990,2.5455,2.6667,7.5152,36.1212,1.3333,34.4242,9.8182
991,3.9384,2.3973,6.8493,30.1370,0.8562,39.3836,8.9041
992,3.2136,3.0246,6.9943,27.7883,2.6465,35.9168,13.9887
993,2.6585,2.2495,7.1575,29.2434,1.4315,40.8998,10.8384
